leads_id,stage_id,funnel_id,first_date,stage_date,stage_time,start_date,stage,days_duration_stage,stage_drop,reason,last_stage_id,last_date,days_duration_pipeline,first_stage_flag,final_stage_flag,deal_won
35,101,51,2020-12-07,2020-12-07,09:52:53,,leads_registered,,0,,106,2020-12-25,18,1,0,0
35,102,139,2020-12-07,2020-12-11,16:16:51,2020-12-07,leads_qualification,4,0,,106,2020-12-25,18,0,0,0
35,103,168,2020-12-07,2020-12-14,16:02:58,2020-12-11,initial_communication_success,3,0,,106,2020-12-25,18,0,0,0
35,104,200,2020-12-07,2020-12-16,11:22:01,2020-12-14,approach_success,2,0,,106,2020-12-25,18,0,0,0
35,105,304,2020-12-07,2020-12-23,10:55:40,2020-12-16,discussion_success,7,0,,106,2020-12-25,18,0,0,0
35,106,348,2020-12-07,2020-12-25,17:27:12,2020-12-23,offer_sent,2,1,price not fit,106,2020-12-25,18,0,0,0
37,101,58,2020-12-07,2020-12-07,12:25:04,,leads_registered,,0,,104,2020-12-17,10,1,0,0
37,102,165,2020-12-07,2020-12-14,15:38:43,2020-12-07,leads_qualification,7,0,,104,2020-12-17,10,0,0,0
37,103,198,2020-12-07,2020-12-16,10:35:41,2020-12-14,initial_communication_success,2,0,,104,2020-12-17,10,0,0,0
37,104,227,2020-12-07,2020-12-17,14:58:46,2020-12-16,approach_success,1,1,not answered,104,2020-12-17,10,0,0,0
54,101,112,2020-12-10,2020-12-10,14:54:11,,leads_registered,,0,,108,2021-01-01,22,1,0,0
54,102,186,2020-12-10,2020-12-15,16:10:11,2020-12-10,leads_qualification,5,0,,108,2021-01-01,22,0,0,0
54,103,212,2020-12-10,2020-12-16,17:59:18,2020-12-15,initial_communication_success,1,0,,108,2021-01-01,22,0,0,0
54,104,223,2020-12-10,2020-12-17,14:24:59,2020-12-16,approach_success,1,0,,108,2021-01-01,22,0,0,0
54,105,300,2020-12-10,2020-12-23,09:31:53,2020-12-17,discussion_success,6,0,,108,2021-01-01,22,0,0,0
54,106,328,2020-12-10,2020-12-24,17:24:56,2020-12-23,offer_sent,1,0,,108,2021-01-01,22,0,0,0
54,107,380,2020-12-10,2020-12-29,11:19:53,2020-12-24,quotation_recieved,5,0,,108,2021-01-01,22,0,0,0
54,108,436,2020-12-10,2021-01-01,10:28:24,2020-12-29,deal_won,3,0,,108,2021-01-01,22,0,1,1
62,101,127,2020-12-11,2020-12-11,13:28:06,,leads_registered,,0,,103,2020-12-18,7,1,0,0
62,102,210,2020-12-11,2020-12-16,17:15:57,2020-12-11,leads_qualification,5,0,,103,2020-12-18,7,0,0,0
62,103,235,2020-12-11,2020-12-18,10:22:01,2020-12-16,initial_communication_success,2,1,not interested,103,2020-12-18,7,0,0,0
64,101,140,2020-12-11,2020-12-11,16:32:08,,leads_registered,,0,,105,2020-12-25,14,1,0,0
64,102,184,2020-12-11,2020-12-15,14:55:09,2020-12-11,leads_qualification,4,0,,105,2020-12-25,14,0,0,0
64,103,249,2020-12-11,2020-12-18,15:41:30,2020-12-15,initial_communication_success,3,0,,105,2020-12-25,14,0,0,0
64,104,262,2020-12-11,2020-12-21,11:16:04,2020-12-18,approach_success,3,0,,105,2020-12-25,14,0,0,0
64,105,339,2020-12-11,2020-12-25,11:13:10,2020-12-21,discussion_success,4,1,price not fit,105,2020-12-25,14,0,0,0
85,101,290,2020-12-22,2020-12-22,14:17:52,,leads_registered,,0,,106,2021-01-08,17,1,0,0
85,102,355,2020-12-22,2020-12-28,10:48:19,2020-12-22,leads_qualification,6,0,,106,2021-01-08,17,0,0,0
85,103,381,2020-12-22,2020-12-29,11:54:17,2020-12-28,initial_communication_success,1,0,,106,2021-01-08,17,0,0,0
85,104,410,2020-12-22,2020-12-30,15:41:13,2020-12-29,approach_success,1,0,,106,2021-01-08,17,0,0,0
85,105,581,2020-12-22,2021-01-07,16:58:13,2020-12-30,discussion_success,8,0,,106,2021-01-08,17,0,0,0
85,106,609,2020-12-22,2021-01-08,15:05:36,2021-01-07,offer_sent,1,1,price not fit,106,2021-01-08,17,0,0,0
96,101,327,2020-12-24,2020-12-24,17:21:10,,leads_registered,,0,,108,2021-01-27,34,1,0,0
96,102,413,2020-12-24,2020-12-31,09:08:16,2020-12-24,leads_qualification,7,0,,108,2021-01-27,34,0,0,0
96,103,447,2020-12-24,2021-01-01,13:12:11,2020-12-31,initial_communication_success,1,0,,108,2021-01-27,34,0,0,0
96,104,481,2020-12-24,2021-01-04,13:39:40,2021-01-01,approach_success,3,0,,108,2021-01-27,34,0,0,0
96,105,677,2020-12-24,2021-01-12,14:32:03,2021-01-04,discussion_success,8,0,,108,2021-01-27,34,0,0,0
96,106,746,2020-12-24,2021-01-15,16:06:18,2021-01-12,offer_sent,3,0,,108,2021-01-27,34,0,0,0
96,107,819,2020-12-24,2021-01-21,09:55:45,2021-01-15,quotation_recieved,6,0,,108,2021-01-27,34,0,0,0
96,108,887,2020-12-24,2021-01-27,16:29:59,2021-01-21,deal_won,6,0,,108,2021-01-27,34,0,1,1
165,101,566,2021-01-07,2021-01-07,10:46:00,,leads_registered,,0,,108,2021-02-04,28,1,0,0
165,102,650,2021-01-07,2021-01-11,15:49:29,2021-01-07,leads_qualification,4,0,,108,2021-02-04,28,0,0,0
165,103,713,2021-01-07,2021-01-14,10:37:28,2021-01-11,initial_communication_success,3,0,,108,2021-02-04,28,0,0,0
165,104,734,2021-01-07,2021-01-15,10:40:48,2021-01-14,approach_success,1,0,,108,2021-02-04,28,0,0,0
165,105,802,2021-01-07,2021-01-20,10:28:22,2021-01-15,discussion_success,5,0,,108,2021-02-04,28,0,0,0
165,106,834,2021-01-07,2021-01-22,10:07:27,2021-01-20,offer_sent,2,0,,108,2021-02-04,28,0,0,0
165,107,927,2021-01-07,2021-01-29,17:21:12,2021-01-22,quotation_recieved,7,0,,108,2021-02-04,28,0,0,0
165,108,1007,2021-01-07,2021-02-04,17:29:45,2021-01-29,deal_won,6,0,,108,2021-02-04,28,0,1,1
168,101,576,2021-01-07,2021-01-07,14:32:24,,leads_registered,,0,,101,2021-01-07,0,1,0,0
189,101,731,2021-01-15,2021-01-15,09:33:05,,leads_registered,,0,,102,2021-01-19,4,1,0,0
189,102,782,2021-01-15,2021-01-19,10:38:35,2021-01-15,leads_qualification,4,1,not selected,102,2021-01-19,4,0,0,0
194,101,779,2021-01-19,2021-01-19,09:05:10,,leads_registered,,0,,101,2021-01-19,0,1,0,0
205,101,856,2021-01-25,2021-01-25,12:41:39,,leads_registered,,0,,108,2021-03-02,36,1,0,0
205,102,930,2021-01-25,2021-01-29,17:48:35,2021-01-25,leads_qualification,4,0,,108,2021-03-02,36,0,0,0
205,103,934,2021-01-25,2021-02-01,10:07:50,2021-01-29,initial_communication_success,3,0,,108,2021-03-02,36,0,0,0
205,104,997,2021-01-25,2021-02-04,12:01:03,2021-02-01,approach_success,3,0,,108,2021-03-02,36,0,0,0
205,105,1133,2021-01-25,2021-02-12,11:10:31,2021-02-04,discussion_success,8,0,,108,2021-03-02,36,0,0,0
205,106,1190,2021-01-25,2021-02-16,17:10:46,2021-02-12,offer_sent,4,0,,108,2021-03-02,36,0,0,0
205,107,1253,2021-01-25,2021-02-23,09:56:15,2021-02-16,quotation_recieved,7,0,,108,2021-03-02,36,0,0,0
205,108,1367,2021-01-25,2021-03-02,17:41:16,2021-02-23,deal_won,7,0,,108,2021-03-02,36,0,1,1
