leads_id,stage_id,funnel_id,stage_date,stage_time
1,101,1,2020-11-25,13:49:44
2,101,2,2020-11-26,09:04:53
3,101,3,2020-11-26,09:26:32
4,101,4,2020-11-26,13:56:31
5,101,5,2020-11-27,11:07:38
6,101,6,2020-11-30,09:16:32
7,101,7,2020-11-30,12:14:43
8,101,8,2020-11-30,16:11:03
9,101,9,2020-11-30,16:34:52
10,101,10,2020-11-30,17:53:22
11,101,11,2020-12-01,09:19:58
12,101,12,2020-12-01,10:14:03
13,101,13,2020-12-01,11:25:09
14,101,15,2020-12-02,09:18:00
15,101,17,2020-12-02,10:31:02
16,101,18,2020-12-02,12:58:24
17,101,19,2020-12-02,14:27:54
18,101,20,2020-12-02,14:47:29
19,101,21,2020-12-02,15:09:05
20,101,22,2020-12-02,15:13:48
21,101,24,2020-12-03,10:20:02
22,101,26,2020-12-03,13:31:39
23,101,31,2020-12-04,10:32:42
24,101,33,2020-12-04,11:01:40
25,101,38,2020-12-04,13:50:11
26,101,39,2020-12-04,14:59:50
27,101,40,2020-12-04,15:15:55
28,101,41,2020-12-04,15:48:54
29,101,43,2020-12-04,16:12:38
30,101,44,2020-12-04,16:36:34
31,101,45,2020-12-04,17:07:02
32,101,47,2020-12-07,09:18:17
33,101,49,2020-12-07,09:37:27
34,101,50,2020-12-07,09:46:33
35,101,51,2020-12-07,09:52:53
36,101,55,2020-12-07,11:19:48
37,101,58,2020-12-07,12:25:04
38,101,62,2020-12-07,14:24:19
39,101,65,2020-12-07,16:32:06
40,101,66,2020-12-07,16:39:49
41,101,72,2020-12-08,09:56:50
42,101,74,2020-12-08,10:53:09
43,101,77,2020-12-08,12:08:28
44,101,81,2020-12-08,16:06:14
45,101,82,2020-12-08,16:08:54
46,101,83,2020-12-08,16:52:10
47,101,85,2020-12-08,17:32:36
48,101,89,2020-12-09,10:23:17
49,101,91,2020-12-09,11:25:51
50,101,95,2020-12-09,12:46:41
51,101,98,2020-12-09,13:24:49
52,101,106,2020-12-10,10:48:44
53,101,110,2020-12-10,11:56:01
54,101,112,2020-12-10,14:54:11
55,101,113,2020-12-10,16:21:35
56,101,114,2020-12-10,17:16:59
57,101,115,2020-12-11,09:11:03
58,101,119,2020-12-11,09:42:14
59,101,123,2020-12-11,10:28:14
60,101,124,2020-12-11,10:51:42
61,101,125,2020-12-11,11:24:42
62,101,127,2020-12-11,13:28:06
63,101,130,2020-12-11,13:47:41
64,101,140,2020-12-11,16:32:08
65,101,141,2020-12-11,16:40:43
66,101,147,2020-12-11,17:59:08
67,101,152,2020-12-14,09:51:37
68,101,167,2020-12-14,15:59:08
69,101,182,2020-12-15,12:05:07
70,101,185,2020-12-15,15:14:56
71,101,196,2020-12-16,09:48:00
72,101,205,2020-12-16,15:19:44
73,101,211,2020-12-16,17:40:41
74,101,226,2020-12-17,14:54:06
75,101,228,2020-12-17,15:10:23
76,101,231,2020-12-17,17:02:57
77,101,241,2020-12-18,11:05:47
78,101,251,2020-12-18,16:18:04
79,101,256,2020-12-21,09:23:46
80,101,259,2020-12-21,10:30:38
81,101,266,2020-12-21,12:06:55
82,101,269,2020-12-21,12:29:47
83,101,282,2020-12-22,10:28:28
84,101,285,2020-12-22,10:57:57
85,101,290,2020-12-22,14:17:52
86,101,293,2020-12-22,16:01:22
87,101,306,2020-12-23,12:00:51
88,101,310,2020-12-23,14:51:37
89,101,312,2020-12-23,15:19:07
90,101,313,2020-12-23,15:44:06
