+---------------+---------+----------+-------------+------------+-------------+
| start_of_week | step_id | leads_id | starting_ts | ending_ts  | end_of_week |
+---------------+---------+----------+-------------+------------+-------------+
| 2020-11-23    | 0       | 1        | 2020-11-25  | 2020-11-25 | 2020-11-29  |
| 2020-11-23    | 0       | 2        | 2020-11-26  | 2020-11-26 | 2020-11-29  |
| 2020-11-23    | 0       | 3        | 2020-11-26  | 2020-11-26 | 2020-11-29  |
| 2020-11-23    | 0       | 4        | 2020-11-26  | 2020-11-26 | 2020-11-29  |
| 2020-11-23    | 0       | 5        | 2020-11-27  | 2020-11-27 | 2020-11-29  |
| 2020-11-23    | 1       | 1        | 2020-11-25  | 2020-12-02 | 2020-11-29  |
| 2020-11-23    | 1       | 2        | 2020-11-26  | 2020-12-03 | 2020-11-29  |
| 2020-11-23    | 1       | 3        | 2020-11-26  | 2020-12-03 | 2020-11-29  |
| 2020-11-23    | 1       | 4        | 2020-11-26  | 2020-12-01 | 2020-11-29  |
| 2020-11-23    | 1       | 5        | 2020-11-27  | 2020-12-04 | 2020-11-29  |
| 2020-11-30    | 0       | 6        | 2020-11-30  | 2020-11-30 | 2020-12-06  |
| 2020-11-30    | 0       | 7        | 2020-11-30  | 2020-11-30 | 2020-12-06  |
| 2020-11-30    | 0       | 8        | 2020-11-30  | 2020-11-30 | 2020-12-06  |
| 2020-11-30    | 0       | 9        | 2020-11-30  | 2020-11-30 | 2020-12-06  |
| 2020-11-30    | 0       | 10       | 2020-11-30  | 2020-11-30 | 2020-12-06  |
| 2020-11-30    | 0       | 11       | 2020-12-01  | 2020-12-01 | 2020-12-06  |
| 2020-11-30    | 0       | 12       | 2020-12-01  | 2020-12-01 | 2020-12-06  |
| 2020-11-30    | 0       | 13       | 2020-12-01  | 2020-12-01 | 2020-12-06  |
| 2020-11-30    | 0       | 14       | 2020-12-02  | 2020-12-02 | 2020-12-06  |
| 2020-11-30    | 0       | 15       | 2020-12-02  | 2020-12-02 | 2020-12-06  |
| 2020-11-30    | 0       | 16       | 2020-12-02  | 2020-12-02 | 2020-12-06  |
| 2020-11-30    | 0       | 17       | 2020-12-02  | 2020-12-02 | 2020-12-06  |
| 2020-11-30    | 0       | 18       | 2020-12-02  | 2020-12-02 | 2020-12-06  |
| 2020-11-30    | 0       | 19       | 2020-12-02  | 2020-12-02 | 2020-12-06  |
| 2020-11-30    | 0       | 20       | 2020-12-02  | 2020-12-02 | 2020-12-06  |
| 2020-11-30    | 0       | 21       | 2020-12-03  | 2020-12-03 | 2020-12-06  |
| 2020-11-30    | 0       | 22       | 2020-12-03  | 2020-12-03 | 2020-12-06  |
| 2020-11-30    | 0       | 23       | 2020-12-04  | 2020-12-04 | 2020-12-06  |
| 2020-11-30    | 0       | 24       | 2020-12-04  | 2020-12-04 | 2020-12-06  |
| 2020-11-30    | 0       | 25       | 2020-12-04  | 2020-12-04 | 2020-12-06  |
| 2020-11-30    | 0       | 26       | 2020-12-04  | 2020-12-04 | 2020-12-06  |
| 2020-11-30    | 0       | 27       | 2020-12-04  | 2020-12-04 | 2020-12-06  |
