+----------+------+---------+------------+------------+----------+------------+------------+------+
| leads_id | step |  month  |    sow     |   start    | starting |    end     |    eow     | open |
+----------+------+---------+------------+------------+----------+------------+------------+------+
| 1        | 0    | 11-2020 | 2020-11-23 | 2020-11-25 | 11-2020  | 2020-11-25 | 2020-11-29 | 1    |
| 1        | 0    | 11-2020 | 2020-11-30 | 2020-11-25 | 11-2020  | 2020-11-25 | 2020-12-06 | 1    |
| 1        | 1    | 11-2020 | 2020-11-23 | 2020-11-25 | 11-2020  | 2020-12-02 | 2020-11-29 | 1    |
| 1        | 1    | 11-2020 | 2020-11-30 | 2020-11-25 | 11-2020  | 2020-12-02 | 2020-12-06 | 1    |
| 1        | 1    | 12-2020 | 2020-12-07 | 2020-11-25 | 11-2020  | 2020-12-02 | 2020-12-13 | 1    |
| 1        | 2    | 11-2020 | 2020-11-30 | 2020-12-02 | 12-2020  | 2020-12-04 | 2020-12-06 | 0    |
| 1        | 2    | 12-2020 | 2020-12-07 | 2020-12-02 | 12-2020  | 2020-12-04 | 2020-12-13 | 1    |
| 1        | 3    | 11-2020 | 2020-11-30 | 2020-12-04 | 12-2020  | 2020-12-07 | 2020-12-06 | 0    |
| 1        | 3    | 12-2020 | 2020-12-07 | 2020-12-04 | 12-2020  | 2020-12-07 | 2020-12-13 | 1    |
| 1        | 3    | 12-2020 | 2020-12-14 | 2020-12-04 | 12-2020  | 2020-12-07 | 2020-12-20 | 1    |
| 10       | 0    | 11-2020 | 2020-11-30 | 2020-11-30 | 11-2020  | 2020-11-30 | 2020-12-06 | 1    |
| 10       | 0    | 12-2020 | 2020-12-07 | 2020-11-30 | 11-2020  | 2020-11-30 | 2020-12-13 | 0    |
| 10       | 1    | 11-2020 | 2020-11-30 | 2020-11-30 | 11-2020  | 2020-12-04 | 2020-12-06 | 1    |
| 10       | 1    | 12-2020 | 2020-12-07 | 2020-11-30 | 11-2020  | 2020-12-04 | 2020-12-13 | 1    |
| 10       | 2    | 11-2020 | 2020-11-30 | 2020-12-04 | 12-2020  | 2020-12-07 | 2020-12-06 | 0    |
| 10       | 2    | 12-2020 | 2020-12-07 | 2020-12-04 | 12-2020  | 2020-12-07 | 2020-12-13 | 1    |
| 10       | 2    | 12-2020 | 2020-12-14 | 2020-12-04 | 12-2020  | 2020-12-07 | 2020-12-20 | 1    |
| 10       | 3    | 12-2020 | 2020-12-07 | 2020-12-07 | 12-2020  | 2020-12-10 | 2020-12-13 | 1    |
| 10       | 3    | 12-2020 | 2020-12-14 | 2020-12-07 | 12-2020  | 2020-12-10 | 2020-12-20 | 1    |
| 10       | 4    | 12-2020 | 2020-12-07 | 2020-12-10 | 12-2020  | 2020-12-18 | 2020-12-13 | 1    |
| 10       | 4    | 12-2020 | 2020-12-14 | 2020-12-10 | 12-2020  | 2020-12-18 | 2020-12-20 | 1    |
| 10       | 4    | 12-2020 | 2020-12-21 | 2020-12-10 | 12-2020  | 2020-12-18 | 2020-12-27 | 1    |
| 10       | 5    | 12-2020 | 2020-12-14 | 2020-12-18 | 12-2020  | 2020-12-22 | 2020-12-20 | 1    |
| 10       | 5    | 12-2020 | 2020-12-21 | 2020-12-18 | 12-2020  | 2020-12-22 | 2020-12-27 | 1    |
| 10       | 5    | 12-2020 | 2020-12-28 | 2020-12-18 | 12-2020  | 2020-12-22 | 2021-01-03 | 1    |
