+---------------+---------+-------------+
| start_of_week | step_id | total_leads |
+---------------+---------+-------------+
| 2020-11-23    | 0       | 5           |
| 2020-11-23    | 1       | 5           |
| 2020-11-30    | 0       | 26          |
| 2020-11-30    | 1       | 30          |
| 2020-11-30    | 2       | 10          |
| 2020-11-30    | 3       | 3           |
| 2020-12-07    | 0       | 35          |
| 2020-12-07    | 1       | 47          |
| 2020-12-07    | 2       | 31          |
| 2020-12-07    | 3       | 23          |
| 2020-12-07    | 4       | 15          |
| 2020-12-14    | 0       | 12          |
| 2020-12-14    | 1       | 30          |
| 2020-12-14    | 2       | 30          |
| 2020-12-14    | 3       | 26          |
| 2020-12-14    | 4       | 35          |
| 2020-12-14    | 5       | 14          |
| 2020-12-14    | 6       | 3           |
| 2020-12-21    | 0       | 18          |
| 2020-12-21    | 1       | 23          |
| 2020-12-21    | 2       | 15          |
| 2020-12-21    | 3       | 11          |
| 2020-12-21    | 4       | 26          |
| 2020-12-21    | 5       | 25          |
| 2020-12-21    | 6       | 24          |
| 2020-12-21    | 7       | 3           |
| 2020-12-28    | 0       | 36          |
| 2020-12-28    | 1       | 42          |
| 2020-12-28    | 2       | 17          |
| 2020-12-28    | 3       | 15          |
| 2020-12-28    | 4       | 15          |
| 2020-12-28    | 5       | 6           |
| 2020-12-28    | 6       | 25          |
| 2020-12-28    | 7       | 21          |
| 2021-01-04    | 0       | 47          |
| 2021-01-04    | 1       | 66          |
| 2021-01-04    | 2       | 32          |
| 2021-01-04    | 3       | 21          |
| 2021-01-04    | 4       | 21          |
| 2021-01-04    | 5       | 9           |
| 2021-01-04    | 6       | 9           |
| 2021-01-04    | 7       | 18          |
| 2021-01-11    | 0       | 12          |
| 2021-01-11    | 1       | 39          |
| 2021-01-11    | 2       | 39          |
| 2021-01-11    | 3       | 31          |
| 2021-01-11    | 4       | 34          |
| 2021-01-11    | 5       | 11          |
| 2021-01-11    | 6       | 12          |
| 2021-01-11    | 7       | 4           |
| 2021-01-18    | 0       | 10          |
| 2021-01-18    | 1       | 16          |
| 2021-01-18    | 2       | 14          |
| 2021-01-18    | 3       | 13          |
| 2021-01-18    | 4       | 31          |
| 2021-01-18    | 5       | 19          |
| 2021-01-18    | 6       | 18          |
| 2021-01-18    | 7       | 6           |
| 2021-01-25    | 0       | 28          |
| 2021-01-25    | 1       | 29          |
| 2021-01-25    | 2       | 13          |
| 2021-01-25    | 3       | 6           |
| 2021-01-25    | 4       | 10          |
| 2021-01-25    | 5       | 8           |
| 2021-01-25    | 6       | 20          |
| 2021-01-25    | 7       | 17          |
| 2021-02-01    | 0       | 31          |
| 2021-02-01    | 1       | 43          |
| 2021-02-01    | 2       | 27          |
| 2021-02-01    | 3       | 13          |
| 2021-02-01    | 4       | 14          |
| 2021-02-01    | 5       | 2           |
| 2021-02-01    | 6       | 7           |
| 2021-02-01    | 7       | 17          |
| 2021-02-08    | 0       | 11          |
| 2021-02-08    | 1       | 28          |
| 2021-02-08    | 2       | 33          |
| 2021-02-08    | 3       | 28          |
| 2021-02-08    | 4       | 35          |
| 2021-02-08    | 5       | 14          |
| 2021-02-08    | 6       | 7           |
| 2021-02-08    | 7       | 3           |
| 2021-02-15    | 0       | 11          |
| 2021-02-15    | 1       | 15          |
| 2021-02-15    | 2       | 9           |
| 2021-02-15    | 3       | 10          |
| 2021-02-15    | 4       | 27          |
| 2021-02-15    | 5       | 22          |
| 2021-02-15    | 6       | 17          |
| 2021-02-15    | 7       | 6           |
| 2021-02-22    | 0       | 26          |
| 2021-02-22    | 1       | 32          |
| 2021-02-22    | 2       | 13          |
| 2021-02-22    | 3       | 6           |
| 2021-02-22    | 4       | 7           |
| 2021-02-22    | 5       | 10          |
| 2021-02-22    | 6       | 17          |
| 2021-02-22    | 7       | 13          |
| 2021-03-01    | 0       | 40          |
| 2021-03-01    | 1       | 56          |
| 2021-03-01    | 2       | 29          |
| 2021-03-01    | 3       | 19          |
| 2021-03-01    | 4       | 10          |
| 2021-03-01    | 5       | 1           |
| 2021-03-01    | 6       | 7           |
| 2021-03-01    | 7       | 12          |
| 2021-03-08    | 0       | 29          |
| 2021-03-08    | 1       | 54          |
| 2021-03-08    | 2       | 47          |
| 2021-03-08    | 3       | 38          |
| 2021-03-08    | 4       | 34          |
| 2021-03-08    | 5       | 10          |
| 2021-03-08    | 6       | 6           |
| 2021-03-08    | 7       | 5           |
| 2021-03-15    | 0       | 13          |
| 2021-03-15    | 1       | 23          |
| 2021-03-15    | 2       | 21          |
| 2021-03-15    | 3       | 25          |
| 2021-03-15    | 4       | 44          |
| 2021-03-15    | 5       | 21          |
| 2021-03-15    | 6       | 15          |
| 2021-03-15    | 7       | 6           |
| 2021-03-22    | 0       | 24          |
| 2021-03-22    | 1       | 30          |
| 2021-03-22    | 2       | 12          |
| 2021-03-22    | 3       | 6           |
| 2021-03-22    | 4       | 21          |
| 2021-03-22    | 5       | 23          |
| 2021-03-22    | 6       | 27          |
| 2021-03-22    | 7       | 13          |
| 2021-03-29    | 0       | 38          |
| 2021-03-29    | 1       | 49          |
| 2021-03-29    | 2       | 21          |
| 2021-03-29    | 3       | 16          |
| 2021-03-29    | 4       | 11          |
| 2021-03-29    | 5       | 3           |
| 2021-03-29    | 6       | 20          |
| 2021-03-29    | 7       | 21          |
| 2021-04-05    | 0       | 35          |
| 2021-04-05    | 1       | 57          |
| 2021-04-05    | 2       | 37          |
| 2021-04-05    | 3       | 26          |
| 2021-04-05    | 4       | 28          |
| 2021-04-05    | 5       | 8           |
| 2021-04-05    | 6       | 6           |
| 2021-04-05    | 7       | 14          |
| 2021-04-12    | 0       | 8           |
| 2021-04-12    | 1       | 30          |
| 2021-04-12    | 2       | 30          |
| 2021-04-12    | 3       | 26          |
| 2021-04-12    | 4       | 42          |
| 2021-04-12    | 5       | 18          |
| 2021-04-12    | 6       | 16          |
| 2021-04-12    | 7       | 5           |
| 2021-04-19    | 0       | 13          |
| 2021-04-19    | 1       | 16          |
| 2021-04-19    | 2       | 10          |
| 2021-04-19    | 3       | 9           |
| 2021-04-19    | 4       | 28          |
| 2021-04-19    | 5       | 17          |
| 2021-04-19    | 6       | 23          |
| 2021-04-19    | 7       | 14          |
| 2021-04-26    | 0       | 42          |
| 2021-04-26    | 1       | 48          |
| 2021-04-26    | 2       | 13          |
| 2021-04-26    | 3       | 7           |
| 2021-04-26    | 4       | 11          |
| 2021-04-26    | 5       | 9           |
| 2021-04-26    | 6       | 19          |
| 2021-04-26    | 7       | 18          |
| 2021-05-03    | 0       | 38          |
| 2021-05-03    | 1       | 65          |
| 2021-05-03    | 2       | 47          |
| 2021-05-03    | 3       | 26          |
| 2021-05-03    | 4       | 23          |
| 2021-05-03    | 5       | 4           |
| 2021-05-03    | 6       | 8           |
| 2021-05-03    | 7       | 15          |
| 2021-05-10    | 0       | 14          |
| 2021-05-10    | 1       | 32          |
| 2021-05-10    | 2       | 38          |
| 2021-05-10    | 3       | 33          |
| 2021-05-10    | 4       | 43          |
| 2021-05-10    | 5       | 21          |
| 2021-05-10    | 6       | 11          |
| 2021-05-10    | 7       | 7           |
| 2021-05-17    | 0       | 13          |
| 2021-05-17    | 1       | 16          |
| 2021-05-17    | 2       | 11          |
| 2021-05-17    | 3       | 9           |
| 2021-05-17    | 4       | 29          |
| 2021-05-17    | 5       | 25          |
| 2021-05-17    | 6       | 26          |
| 2021-05-17    | 7       | 7           |
| 2021-05-24    | 0       | 19          |
| 2021-05-24    | 1       | 24          |
| 2021-05-24    | 2       | 11          |
| 2021-05-24    | 3       | 8           |
| 2021-05-24    | 4       | 6           |
| 2021-05-24    | 5       | 6           |
| 2021-05-24    | 6       | 20          |
| 2021-05-24    | 7       | 19          |
| 2021-05-31    | 0       | 47          |
| 2021-05-31    | 1       | 57          |
| 2021-05-31    | 2       | 26          |
| 2021-05-31    | 3       | 13          |
| 2021-05-31    | 4       | 10          |
| 2021-05-31    | 5       | 1           |
| 2021-05-31    | 6       | 4           |
| 2021-05-31    | 7       | 15          |
| 2021-06-07    | 0       | 24          |
| 2021-06-07    | 1       | 48          |
| 2021-06-07    | 2       | 47          |
| 2021-06-07    | 3       | 35          |
| 2021-06-07    | 4       | 30          |
| 2021-06-07    | 5       | 8           |
| 2021-06-07    | 6       | 4           |
| 2021-06-07    | 7       | 3           |
| 2021-06-14    | 0       | 13          |
| 2021-06-14    | 1       | 22          |
| 2021-06-14    | 2       | 21          |
| 2021-06-14    | 3       | 24          |
| 2021-06-14    | 4       | 38          |
| 2021-06-14    | 5       | 24          |
| 2021-06-14    | 6       | 18          |
| 2021-06-14    | 7       | 5           |
| 2021-06-21    | 0       | 26          |
| 2021-06-21    | 1       | 33          |
| 2021-06-21    | 2       | 12          |
| 2021-06-21    | 3       | 6           |
| 2021-06-21    | 4       | 18          |
| 2021-06-21    | 5       | 14          |
| 2021-06-21    | 6       | 28          |
| 2021-06-21    | 7       | 17          |
| 2021-06-28    | 0       | 46          |
| 2021-06-28    | 1       | 59          |
| 2021-06-28    | 2       | 32          |
| 2021-06-28    | 3       | 17          |
| 2021-06-28    | 4       | 15          |
| 2021-06-28    | 5       | 5           |
| 2021-06-28    | 6       | 14          |
| 2021-06-28    | 7       | 22          |
| 2021-07-05    | 0       | 31          |
| 2021-07-05    | 1       | 60          |
| 2021-07-05    | 2       | 47          |
| 2021-07-05    | 3       | 38          |
| 2021-07-05    | 4       | 36          |
| 2021-07-05    | 5       | 8           |
| 2021-07-05    | 6       | 7           |
| 2021-07-05    | 7       | 8           |
| 2021-07-12    | 0       | 16          |
| 2021-07-12    | 1       | 35          |
| 2021-07-12    | 2       | 37          |
| 2021-07-12    | 3       | 32          |
| 2021-07-12    | 4       | 48          |
| 2021-07-12    | 5       | 26          |
| 2021-07-12    | 6       | 18          |
| 2021-07-12    | 7       | 6           |
| 2021-07-19    | 0       | 12          |
| 2021-07-19    | 1       | 18          |
| 2021-07-19    | 2       | 14          |
| 2021-07-19    | 3       | 13          |
| 2021-07-19    | 4       | 29          |
| 2021-07-19    | 5       | 23          |
| 2021-07-19    | 6       | 29          |
| 2021-07-19    | 7       | 17          |
| 2021-07-26    | 0       | 23          |
| 2021-07-26    | 1       | 25          |
| 2021-07-26    | 2       | 13          |
| 2021-07-26    | 3       | 12          |
| 2021-07-26    | 4       | 16          |
| 2021-07-26    | 5       | 9           |
| 2021-07-26    | 6       | 18          |
| 2021-07-26    | 7       | 23          |
| 2021-08-02    | 0       | 38          |
| 2021-08-02    | 1       | 45          |
| 2021-08-02    | 2       | 26          |
| 2021-08-02    | 3       | 14          |
| 2021-08-02    | 4       | 21          |
| 2021-08-02    | 5       | 7           |
| 2021-08-02    | 6       | 9           |
| 2021-08-02    | 7       | 12          |
| 2021-08-09    | 0       | 17          |
| 2021-08-09    | 1       | 37          |
| 2021-08-09    | 2       | 36          |
| 2021-08-09    | 3       | 27          |
| 2021-08-09    | 4       | 31          |
| 2021-08-09    | 5       | 11          |
| 2021-08-09    | 6       | 12          |
