+--------------+-----------+------------------+---------------------+-----------+------------+------------+
| month_period | total_new | last_period_open | total_opportunities | total_won | total_lost | total_open |
+--------------+-----------+------------------+---------------------+-----------+------------+------------+
| 2020-11-01   | 10        | 0                | 10                  | 0         | 0          | 10         |
| 2020-12-01   | 111       | 10               | 121                 | 0         | 44         | 77         |
| 2021-01-01   | 108       | 77               | 185                 | 33        | 69         | 67         |
| 2021-02-01   | 79        | 67               | 146                 | 24        | 48         | 55         |
| 2021-03-01   | 122       | 55               | 177                 | 22        | 70         | 73         |
| 2021-04-01   | 120       | 73               | 193                 | 36        | 64         | 73         |
| 2021-05-01   | 95        | 73               | 168                 | 26        | 68         | 61         |
| 2021-06-01   | 121       | 61               | 182                 | 24        | 61         | 80         |
| 2021-07-01   | 106       | 80               | 186                 | 36        | 77         | 55         |
| 2021-08-01   | 115       | 55               | 170                 | 27        | 53         | 74         |
| 2021-09-01   | 135       | 74               | 209                 | 26        | 76         | 89         |
| 2021-10-01   | 89        | 89               | 178                 | 39        | 55         | 62         |
| 2021-11-01   | 117       | 62               | 179                 | 28        | 67         | 72         |
| 2021-12-01   | 216       | 72               | 288                 | 26        | 94         | 151        |
| 2022-01-01   | 119       | 151              | 270                 | 56        | 105        | 76         |
| 2022-02-01   | 100       | 76               | 176                 | 29        | 48         | 81         |
| 2022-03-01   | 220       | 81               | 301                 | 22        | 108        | 157        |
| 2022-04-01   | 116       | 157              | 273                 | 67        | 93         | 80         |
| 2022-05-01   | 153       | 80               | 233                 | 31        | 70         | 117        |
| 2022-06-01   | 248       | 117              | 365                 | 27        | 136        | 176        |
| 2022-07-01   | 122       | 176              | 298                 | 79        | 100        | 86         |
| 2022-08-01   | 166       | 86               | 252                 | 37        | 83         | 111        |
| 2022-09-01   | 318       | 111              | 429                 | 30        | 148        | 226        |
| 2022-10-01   | 165       | 226              | 391                 | 96        | 142        | 106        |
| 2022-11-01   | 118       | 106              | 224                 | 46        | 78         | 77         |
| 2022-12-01   | 8         | 77               | 85                  | 34        | 33         | 1          |
+--------------+-----------+------------------+---------------------+-----------+------------+------------+
