+----------+---------+---------------+-------------+-------------+------------+
| leads_id | step_id | start_of_week | end_of_week | starting_ts | ending_ts  |
+----------+---------+---------------+-------------+-------------+------------+
| 1        | 1       | 2020-11-23    | 2020-11-29  | 2020-11-25  | 2020-12-02 |
| 1        | 1       | 2020-11-30    | 2020-12-06  | 2020-11-25  | 2020-12-02 |
| 1        | 1       | 2020-12-07    | 2020-12-13  | 2020-11-25  | 2020-12-02 |
| 1        | 1       | 2020-12-14    | 2020-12-20  | 2020-11-25  | 2020-12-02 |
| 1        | 1       | 2020-12-21    | 2020-12-27  | 2020-11-25  | 2020-12-02 |
| 1        | 1       | 2020-12-28    | 2021-01-03  | 2020-11-25  | 2020-12-02 |
| 1        | 1       | 2021-01-04    | 2021-01-10  | 2020-11-25  | 2020-12-02 |
| 1        | 1       | 2021-01-11    | 2021-01-17  | 2020-11-25  | 2020-12-02 |
| 1        | 1       | 2021-01-18    | 2021-01-24  | 2020-11-25  | 2020-12-02 |
| 1        | 1       | 2021-01-25    | 2021-01-31  | 2020-11-25  | 2020-12-02 |
| 1        | 1       | 2021-02-01    | 2021-02-07  | 2020-11-25  | 2020-12-02 |
| 1        | 1       | 2021-02-08    | 2021-02-14  | 2020-11-25  | 2020-12-02 |
| 1        | 1       | 2021-02-15    | 2021-02-21  | 2020-11-25  | 2020-12-02 |
| 1        | 1       | 2021-02-22    | 2021-02-28  | 2020-11-25  | 2020-12-02 |
| 1        | 1       | 2021-03-01    | 2021-03-07  | 2020-11-25  | 2020-12-02 |
| 1        | 1       | 2021-03-08    | 2021-03-14  | 2020-11-25  | 2020-12-02 |
| 1        | 1       | 2021-03-15    | 2021-03-21  | 2020-11-25  | 2020-12-02 |
| 1        | 1       | 2021-03-22    | 2021-03-28  | 2020-11-25  | 2020-12-02 |
| 1        | 1       | 2021-03-29    | 2021-04-04  | 2020-11-25  | 2020-12-02 |
| 1        | 1       | 2021-04-05    | 2021-04-11  | 2020-11-25  | 2020-12-02 |
| 1        | 1       | 2021-04-12    | 2021-04-18  | 2020-11-25  | 2020-12-02 |
| 1        | 1       | 2021-04-19    | 2021-04-25  | 2020-11-25  | 2020-12-02 |
| 1        | 1       | 2021-04-26    | 2021-05-02  | 2020-11-25  | 2020-12-02 |
| 1        | 1       | 2021-05-03    | 2021-05-09  | 2020-11-25  | 2020-12-02 |
| 1        | 1       | 2021-05-10    | 2021-05-16  | 2020-11-25  | 2020-12-02 |
| 1        | 1       | 2021-05-17    | 2021-05-23  | 2020-11-25  | 2020-12-02 |
| 1        | 1       | 2021-05-24    | 2021-05-30  | 2020-11-25  | 2020-12-02 |
| 1        | 1       | 2021-05-31    | 2021-06-06  | 2020-11-25  | 2020-12-02 |
| 1        | 1       | 2021-06-07    | 2021-06-13  | 2020-11-25  | 2020-12-02 |
| 1        | 1       | 2021-06-14    | 2021-06-20  | 2020-11-25  | 2020-12-02 |
| 1        | 1       | 2021-06-21    | 2021-06-27  | 2020-11-25  | 2020-12-02 |
| 1        | 1       | 2021-06-28    | 2021-07-04  | 2020-11-25  | 2020-12-02 |
| 1        | 1       | 2021-07-05    | 2021-07-11  | 2020-11-25  | 2020-12-02 |
| 1        | 1       | 2021-07-12    | 2021-07-18  | 2020-11-25  | 2020-12-02 |
| 1        | 1       | 2021-07-19    | 2021-07-25  | 2020-11-25  | 2020-12-02 |
| 1        | 1       | 2021-07-26    | 2021-08-01  | 2020-11-25  | 2020-12-02 |
| 1        | 1       | 2021-08-02    | 2021-08-08  | 2020-11-25  | 2020-12-02 |
| 1        | 1       | 2021-08-09    | 2021-08-15  | 2020-11-25  | 2020-12-02 |
| 1        | 1       | 2021-08-16    | 2021-08-22  | 2020-11-25  | 2020-12-02 |
| 1        | 1       | 2021-08-23    | 2021-08-29  | 2020-11-25  | 2020-12-02 |
| 1        | 1       | 2021-08-30    | 2021-09-05  | 2020-11-25  | 2020-12-02 |
| 1        | 1       | 2021-09-06    | 2021-09-12  | 2020-11-25  | 2020-12-02 |
| 1        | 1       | 2021-09-13    | 2021-09-19  | 2020-11-25  | 2020-12-02 |
| 1        | 1       | 2021-09-20    | 2021-09-26  | 2020-11-25  | 2020-12-02 |
| 1        | 1       | 2021-09-27    | 2021-10-03  | 2020-11-25  | 2020-12-02 |
| 1        | 1       | 2021-10-04    | 2021-10-10  | 2020-11-25  | 2020-12-02 |
| 1        | 1       | 2021-10-11    | 2021-10-17  | 2020-11-25  | 2020-12-02 |
| 1        | 1       | 2021-10-18    | 2021-10-24  | 2020-11-25  | 2020-12-02 |
| 1        | 1       | 2021-10-25    | 2021-10-31  | 2020-11-25  | 2020-12-02 |
| 1        | 1       | 2021-11-01    | 2021-11-07  | 2020-11-25  | 2020-12-02 |
| 1        | 1       | 2021-11-08    | 2021-11-14  | 2020-11-25  | 2020-12-02 |
| 1        | 1       | 2021-11-15    | 2021-11-21  | 2020-11-25  | 2020-12-02 |
| 1        | 1       | 2021-11-22    | 2021-11-28  | 2020-11-25  | 2020-12-02 |
| 1        | 1       | 2021-11-29    | 2021-12-05  | 2020-11-25  | 2020-12-02 |
| 1        | 1       | 2021-12-06    | 2021-12-12  | 2020-11-25  | 2020-12-02 |
| 1        | 1       | 2021-12-13    | 2021-12-19  | 2020-11-25  | 2020-12-02 |
| 1        | 1       | 2021-12-20    | 2021-12-26  | 2020-11-25  | 2020-12-02 |
| 1        | 1       | 2021-12-27    | 2022-01-02  | 2020-11-25  | 2020-12-02 |
| 1        | 1       | 2022-01-03    | 2022-01-09  | 2020-11-25  | 2020-12-02 |
| 1        | 1       | 2022-01-10    | 2022-01-16  | 2020-11-25  | 2020-12-02 |
| 1        | 1       | 2022-01-17    | 2022-01-23  | 2020-11-25  | 2020-12-02 |
| 1        | 1       | 2022-01-24    | 2022-01-30  | 2020-11-25  | 2020-12-02 |
