┌──────────┬───────────────────────────────┬─────────────────────┬───────┬────────────────────────────┐
│ leads_id │             stage             │      timestamp      │ state │           reason           │
├──────────┼───────────────────────────────┼─────────────────────┼───────┼────────────────────────────┤
│ 1        │ leads_registered              │ 2020-11-25 13:49:44 │ 1     │                            │
│ 1        │ leads_qualification           │ 2020-12-02 10:07:04 │ 1     │                            │
│ 1        │ initial_communication_success │ 2020-12-04 12:57:14 │ 1     │                            │
│ 1        │ approach_success              │ 2020-12-07 13:49:28 │ 0     │ not answered               │
│ 2        │ leads_registered              │ 2020-11-26 09:04:53 │ 1     │                            │
│ 2        │ leads_qualification           │ 2020-12-03 13:07:29 │ 1     │                            │
│ 2        │ initial_communication_success │ 2020-12-04 09:41:16 │ 1     │                            │
│ 2        │ approach_success              │ 2020-12-07 12:32:29 │ 1     │                            │
│ 2        │ discussion_success            │ 2020-12-14 09:56:32 │ 1     │                            │
│ 2        │ offer_sent                    │ 2020-12-15 16:43:05 │ 1     │                            │
│ 2        │ quotation_recieved            │ 2020-12-24 14:10:10 │ 1     │                            │
│ 2        │ deal_won                      │ 2021-01-01 17:45:51 │ 1     │                            │
│ 3        │ leads_registered              │ 2020-11-26 09:26:32 │ 1     │                            │
│ 3        │ leads_qualification           │ 2020-12-03 17:25:06 │ 1     │                            │
│ 3        │ initial_communication_success │ 2020-12-04 09:50:03 │ 1     │                            │
│ 3        │ approach_success              │ 2020-12-07 10:21:42 │ 0     │ not answered               │
│ 4        │ leads_registered              │ 2020-11-26 13:56:31 │ 1     │                            │
│ 4        │ leads_qualification           │ 2020-12-01 16:36:31 │ 1     │                            │
│ 4        │ initial_communication_success │ 2020-12-02 16:22:27 │ 0     │ not answered               │
│ 5        │ leads_registered              │ 2020-11-27 11:07:38 │ 1     │                            │
│ 5        │ leads_qualification           │ 2020-12-04 12:17:43 │ 1     │                            │
│ 5        │ initial_communication_success │ 2020-12-07 17:07:27 │ 1     │                            │
│ 5        │ approach_success              │ 2020-12-08 12:24:03 │ 1     │                            │
│ 5        │ discussion_success            │ 2020-12-14 10:35:05 │ 1     │                            │
│ 5        │ offer_sent                    │ 2020-12-15 16:48:11 │ 0     │ not interested             │
│ 6        │ leads_registered              │ 2020-11-30 09:16:32 │ 1     │                            │
│ 6        │ leads_qualification           │ 2020-12-04 11:11:06 │ 1     │                            │
│ 6        │ initial_communication_success │ 2020-12-07 16:57:47 │ 1     │                            │
│ 6        │ approach_success              │ 2020-12-10 11:13:12 │ 1     │                            │
│ 6        │ discussion_success            │ 2020-12-18 11:01:29 │ 1     │                            │
│ 6        │ offer_sent                    │ 2020-12-22 17:15:39 │ 1     │                            │
│ 6        │ quotation_recieved            │ 2020-12-31 11:18:48 │ 1     │                            │
│ 6        │ deal_won                      │ 2021-01-05 10:40:32 │ 1     │                            │
│ 7        │ leads_registered              │ 2020-11-30 12:14:43 │ 1     │                            │
│ 7        │ leads_qualification           │ 2020-12-04 09:00:05 │ 1     │                            │
│ 7        │ initial_communication_success │ 2020-12-07 15:09:28 │ 1     │                            │
│ 7        │ approach_success              │ 2020-12-09 17:33:41 │ 1     │                            │
│ 7        │ discussion_success            │ 2020-12-14 09:43:59 │ 0     │ not interested             │
│ 8        │ leads_registered              │ 2020-11-30 16:11:03 │ 1     │                            │
│ 8        │ leads_qualification           │ 2020-12-04 16:09:00 │ 1     │                            │
│ 8        │ initial_communication_success │ 2020-12-07 10:00:12 │ 1     │                            │
│ 8        │ approach_success              │ 2020-12-08 11:30:05 │ 1     │                            │
│ 8        │ discussion_success            │ 2020-12-14 15:44:18 │ 1     │                            │
│ 8        │ offer_sent                    │ 2020-12-15 09:59:06 │ 1     │                            │
│ 8        │ quotation_recieved            │ 2020-12-24 17:50:23 │ 1     │                            │
│ 8        │ deal_won                      │ 2021-01-01 11:08:33 │ 1     │                            │
│ 9        │ leads_registered              │ 2020-11-30 16:34:52 │ 1     │                            │
│ 9        │ leads_qualification           │ 2020-12-07 17:06:59 │ 1     │                            │
│ 9        │ initial_communication_success │ 2020-12-08 17:43:05 │ 1     │                            │
│ 9        │ approach_success              │ 2020-12-11 15:56:09 │ 1     │                            │
│ 9        │ discussion_success            │ 2020-12-17 17:41:18 │ 1     │                            │
│ 9        │ offer_sent                    │ 2020-12-21 16:07:43 │ 1     │                            │
│ 9        │ quotation_recieved            │ 2020-12-29 14:55:50 │ 1     │                            │
│ 9        │ deal_won                      │ 2021-01-04 12:27:39 │ 1     │                            │
│ 10       │ leads_registered              │ 2020-11-30 17:53:22 │ 1     │                            │
│ 10       │ leads_qualification           │ 2020-12-04 13:41:03 │ 1     │                            │
│ 10       │ initial_communication_success │ 2020-12-07 09:09:17 │ 1     │                            │
│ 10       │ approach_success              │ 2020-12-10 12:59:02 │ 1     │                            │
│ 10       │ discussion_success            │ 2020-12-18 10:39:49 │ 1     │                            │
│ 10       │ offer_sent                    │ 2020-12-22 17:34:24 │ 1     │                            │
│ 10       │ quotation_recieved            │ 2020-12-30 10:24:04 │ 1     │                            │
│ 10       │ deal_won                      │ 2021-01-07 13:59:46 │ 1     │                            │
│ 11       │ leads_registered              │ 2020-12-01 09:19:58 │ 1     │                            │
│ 11       │ leads_qualification           │ 2020-12-08 17:15:57 │ 1     │                            │
│ 11       │ initial_communication_success │ 2020-12-09 17:16:52 │ 0     │ not answered               │
│ 12       │ leads_registered              │ 2020-12-01 10:14:03 │ 1     │                            │
│ 12       │ leads_qualification           │ 2020-12-04 10:46:10 │ 1     │                            │
│ 12       │ initial_communication_success │ 2020-12-07 10:44:19 │ 1     │                            │
│ 12       │ approach_success              │ 2020-12-09 12:23:05 │ 1     │                            │
│ 12       │ discussion_success            │ 2020-12-18 12:26:56 │ 1     │                            │
│ 12       │ offer_sent                    │ 2020-12-22 13:47:31 │ 1     │                            │
│ 12       │ quotation_recieved            │ 2020-12-29 09:04:27 │ 1     │                            │
│ 12       │ deal_won                      │ 2021-01-04 14:43:29 │ 1     │                            │
│ 13       │ leads_registered              │ 2020-12-01 11:25:09 │ 1     │                            │
│ 13       │ leads_qualification           │ 2020-12-07 09:32:13 │ 1     │                            │
│ 13       │ initial_communication_success │ 2020-12-08 10:35:15 │ 1     │                            │
│ 13       │ approach_success              │ 2020-12-10 09:10:39 │ 1     │                            │
│ 13       │ discussion_success            │ 2020-12-17 12:02:32 │ 0     │ price not fit              │
│ 14       │ leads_registered              │ 2020-12-02 09:18:00 │ 1     │                            │
│ 15       │ leads_registered              │ 2020-12-02 10:31:02 │ 1     │                            │
│ 15       │ leads_qualification           │ 2020-12-07 12:22:57 │ 1     │                            │
│ 15       │ initial_communication_success │ 2020-12-08 14:46:06 │ 1     │                            │
│ 15       │ approach_success              │ 2020-12-09 12:33:19 │ 1     │                            │
│ 15       │ discussion_success            │ 2020-12-17 12:10:07 │ 1     │                            │
│ 15       │ offer_sent                    │ 2020-12-21 11:18:46 │ 1     │                            │
│ 15       │ quotation_recieved            │ 2020-12-28 17:52:53 │ 1     │                            │
│ 15       │ deal_won                      │ 2021-01-07 11:14:46 │ 1     │                            │
│ 16       │ leads_registered              │ 2020-12-02 12:58:24 │ 1     │                            │
│ 16       │ leads_qualification           │ 2020-12-07 12:27:11 │ 1     │                            │
│ 16       │ initial_communication_success │ 2020-12-08 11:51:56 │ 1     │                            │
│ 16       │ approach_success              │ 2020-12-10 11:18:27 │ 1     │                            │
│ 16       │ discussion_success            │ 2020-12-14 09:32:42 │ 0     │ price not fit              │
│ 17       │ leads_registered              │ 2020-12-02 14:27:54 │ 1     │                            │
│ 17       │ leads_qualification           │ 2020-12-08 09:30:58 │ 1     │                            │
│ 17       │ initial_communication_success │ 2020-12-11 09:30:27 │ 1     │                            │
│ 17       │ approach_success              │ 2020-12-14 13:21:28 │ 1     │                            │
│ 17       │ discussion_success            │ 2020-12-22 11:02:13 │ 1     │                            │
│ 17       │ offer_sent                    │ 2020-12-23 16:20:54 │ 1     │                            │
│ 17       │ quotation_recieved            │ 2020-12-31 10:29:32 │ 1     │                            │
│ 17       │ deal_won                      │ 2021-01-07 10:18:40 │ 1     │                            │
│ 18       │ leads_registered              │ 2020-12-02 14:47:29 │ 1     │                            │
│ 18       │ leads_qualification           │ 2020-12-09 09:00:32 │ 1     │                            │
│ 18       │ initial_communication_success │ 2020-12-10 09:47:48 │ 1     │                            │
│ 18       │ approach_success              │ 2020-12-11 13:34:41 │ 1     │                            │
│ 18       │ discussion_success            │ 2020-12-18 15:28:30 │ 1     │                            │
│ 18       │ offer_sent                    │ 2020-12-21 11:47:20 │ 1     │                            │
│ 18       │ quotation_recieved            │ 2020-12-30 17:13:32 │ 1     │                            │
│ 18       │ deal_won                      │ 2021-01-05 12:21:38 │ 1     │                            │
│ 19       │ leads_registered              │ 2020-12-02 15:09:05 │ 1     │                            │
│ 19       │ leads_qualification           │ 2020-12-07 11:41:33 │ 1     │                            │
│ 19       │ initial_communication_success │ 2020-12-09 13:08:11 │ 1     │                            │
│ 19       │ approach_success              │ 2020-12-11 13:50:04 │ 1     │                            │
│ 19       │ discussion_success            │ 2020-12-17 09:34:06 │ 1     │                            │
│ 19       │ offer_sent                    │ 2020-12-21 14:56:53 │ 1     │                            │
│ 19       │ quotation_recieved            │ 2020-12-29 10:24:36 │ 1     │                            │
│ 19       │ deal_won                      │ 2021-01-04 15:01:38 │ 1     │                            │
│ 20       │ leads_registered              │ 2020-12-02 15:13:48 │ 1     │                            │
│ 20       │ leads_qualification           │ 2020-12-09 16:02:22 │ 1     │                            │
│ 20       │ initial_communication_success │ 2020-12-11 09:49:17 │ 1     │                            │
│ 20       │ approach_success              │ 2020-12-14 14:29:35 │ 1     │                            │
│ 20       │ discussion_success            │ 2020-12-21 16:41:32 │ 1     │                            │
│ 20       │ offer_sent                    │ 2020-12-25 10:58:35 │ 0     │ not interested             │
│ 21       │ leads_registered              │ 2020-12-03 10:20:02 │ 1     │                            │
│ 21       │ leads_qualification           │ 2020-12-08 09:49:06 │ 1     │                            │
│ 21       │ initial_communication_success │ 2020-12-11 10:14:05 │ 1     │                            │
│ 21       │ approach_success              │ 2020-12-14 11:51:09 │ 1     │                            │
│ 21       │ discussion_success            │ 2020-12-21 09:43:52 │ 1     │                            │
│ 21       │ offer_sent                    │ 2020-12-24 09:50:34 │ 1     │                            │
│ 21       │ quotation_recieved            │ 2020-12-30 17:07:12 │ 1     │                            │
│ 21       │ deal_won                      │ 2021-01-01 09:30:30 │ 1     │                            │
│ 22       │ leads_registered              │ 2020-12-03 13:31:39 │ 1     │                            │
│ 22       │ leads_qualification           │ 2020-12-09 13:40:44 │ 1     │                            │
│ 22       │ initial_communication_success │ 2020-12-11 14:32:53 │ 1     │                            │
│ 22       │ approach_success              │ 2020-12-14 12:59:40 │ 1     │                            │
│ 22       │ discussion_success            │ 2020-12-21 11:06:23 │ 1     │                            │
│ 22       │ offer_sent                    │ 2020-12-24 09:23:32 │ 1     │                            │
│ 22       │ quotation_recieved            │ 2020-12-30 14:38:20 │ 1     │                            │
│ 22       │ deal_won                      │ 2021-01-08 10:31:05 │ 1     │                            │
│ 23       │ leads_registered              │ 2020-12-04 10:32:42 │ 1     │                            │
│ 23       │ leads_qualification           │ 2020-12-09 09:34:26 │ 1     │                            │
│ 23       │ initial_communication_success │ 2020-12-11 17:31:43 │ 1     │                            │
│ 23       │ approach_success              │ 2020-12-14 09:13:25 │ 1     │                            │
│ 23       │ discussion_success            │ 2020-12-18 14:53:15 │ 1     │                            │
│ 23       │ offer_sent                    │ 2020-12-22 16:00:52 │ 1     │                            │
│ 23       │ quotation_recieved            │ 2020-12-31 16:45:12 │ 0     │ price not fit              │
│ 24       │ leads_registered              │ 2020-12-04 11:01:40 │ 1     │                            │
│ 24       │ leads_qualification           │ 2020-12-09 10:31:28 │ 1     │                            │
│ 24       │ initial_communication_success │ 2020-12-11 09:27:17 │ 1     │                            │
│ 24       │ approach_success              │ 2020-12-14 17:22:55 │ 1     │                            │
│ 24       │ discussion_success            │ 2020-12-18 09:34:04 │ 1     │                            │
│ 24       │ offer_sent                    │ 2020-12-22 09:22:32 │ 1     │                            │
│ 24       │ quotation_recieved            │ 2020-12-30 09:03:41 │ 1     │                            │
│ 24       │ deal_won                      │ 2021-01-04 09:28:55 │ 1     │                            │
│ 25       │ leads_registered              │ 2020-12-04 13:50:11 │ 1     │                            │
│ 25       │ leads_qualification           │ 2020-12-09 13:24:38 │ 0     │ not selected               │
│ 26       │ leads_registered              │ 2020-12-04 14:59:50 │ 1     │                            │
│ 26       │ leads_qualification           │ 2020-12-11 14:29:49 │ 1     │                            │
│ 26       │ initial_communication_success │ 2020-12-14 17:02:25 │ 0     │ not answered               │
│ 27       │ leads_registered              │ 2020-12-04 15:15:55 │ 1     │                            │
│ 27       │ leads_qualification           │ 2020-12-11 17:52:44 │ 1     │                            │
