leads_id,no_of_page,first_page,last_page,first_ts,last_ts,session_duration,no_form_page,no_info_page,cta
1,5,/home,/form/set-a-meeting,"2020-11-25 13:47:09","2020-11-25 13:48:52",103.0,2,2,set-a-meeting
2,3,/features,/form/brochure,"2020-11-26 09:02:24","2020-11-26 09:03:27",63.0,2,1,brochure
3,2,/portofolio,/form/set-a-meeting,"2020-11-26 09:24:31","2020-11-26 09:25:15",44.0,1,1,set-a-meeting
4,5,/portofolio,/form/brochure,"2020-11-26 13:53:29","2020-11-26 13:55:22",113.0,1,4,brochure
5,3,/features,/form/brochure,"2020-11-27 11:05:15","2020-11-27 11:06:18",63.0,2,1,brochure
6,5,/portofolio,/form/set-a-meeting,"2020-11-30 09:13:40","2020-11-30 09:15:28",108.0,2,3,set-a-meeting
7,3,/home,/form/brochure,"2020-11-30 12:12:30","2020-11-30 12:13:22",52.0,1,1,brochure
8,3,/home,/form/brochure,"2020-11-30 16:08:34","2020-11-30 16:09:35",61.0,1,1,brochure
9,4,/features,/form/brochure,"2020-11-30 16:32:07","2020-11-30 16:33:33",86.0,2,2,brochure
10,5,/features,/form/brochure,"2020-11-30 17:50:30","2020-11-30 17:52:17",107.0,2,3,brochure
11,6,/testimonials,/form/set-a-meeting,"2020-12-01 09:16:47","2020-12-01 09:19:04",137.0,2,4,set-a-meeting
12,2,/studycase,/form/set-a-meeting,"2020-12-01 10:12:11","2020-12-01 10:12:55",44.0,1,1,set-a-meeting
13,3,/home,/form/demo,"2020-12-01 11:22:49","2020-12-01 11:23:40",51.0,1,1,demo
14,2,/portofolio,/form/set-a-meeting,"2020-12-02 09:16:07","2020-12-02 09:16:49",42.0,1,1,set-a-meeting
15,1,/form/set-a-meeting,/form/set-a-meeting,"2020-12-02 10:30:01","2020-12-02 10:30:01",0.0,1,0,set-a-meeting
16,2,/home,/form/set-a-meeting,"2020-12-02 12:56:54","2020-12-02 12:57:32",38.0,1,0,set-a-meeting
17,2,/home,/form/set-a-meeting,"2020-12-02 14:25:53","2020-12-02 14:26:27",34.0,1,0,set-a-meeting
18,1,/form/brochure,/form/brochure,"2020-12-02 14:46:22","2020-12-02 14:46:22",0.0,1,0,brochure
19,4,/home,/form/brochure,"2020-12-02 15:06:32","2020-12-02 15:07:51",79.0,2,1,brochure
20,4,/portofolio,/form/set-a-meeting,"2020-12-02 15:11:01","2020-12-02 15:12:39",98.0,1,3,set-a-meeting
21,2,/features,/form/brochure,"2020-12-03 10:18:18","2020-12-03 10:19:07",49.0,1,1,brochure
22,6,/studycase,/form/brochure,"2020-12-03 13:28:28","2020-12-03 13:30:35",127.0,2,3,brochure
23,2,/portofolio,/form/demo,"2020-12-04 10:30:44","2020-12-04 10:31:33",49.0,1,1,demo
24,2,/portofolio,/form/demo,"2020-12-04 11:00:09","2020-12-04 11:00:49",40.0,1,1,demo
25,6,/features,/form/set-a-meeting,"2020-12-04 13:47:05","2020-12-04 13:49:13",128.0,2,3,set-a-meeting
26,4,/testimonials,/form/brochure,"2020-12-04 14:56:47","2020-12-04 14:58:29",102.0,1,3,brochure
27,2,/home,/form/set-a-meeting,"2020-12-04 15:14:25","2020-12-04 15:14:57",32.0,1,0,set-a-meeting
28,4,/studycase,/form/brochure,"2020-12-04 15:46:31","2020-12-04 15:47:53",82.0,2,2,brochure
29,6,/home,/form/set-a-meeting,"2020-12-04 16:09:29","2020-12-04 16:11:18",109.0,3,2,set-a-meeting
30,3,/features,/form/demo,"2020-12-04 16:34:23","2020-12-04 16:35:27",64.0,2,1,demo
31,5,/features,/form/demo,"2020-12-04 17:03:52","2020-12-04 17:05:34",102.0,2,3,demo
32,4,/features,/form/demo,"2020-12-07 09:15:46","2020-12-07 09:17:19",93.0,1,3,demo
33,4,/testimonials,/form/demo,"2020-12-07 09:34:45","2020-12-07 09:36:26",101.0,1,3,demo
34,4,/features,/form/brochure,"2020-12-07 09:43:52","2020-12-07 09:45:29",97.0,1,3,brochure
35,5,/home,/form/brochure,"2020-12-07 09:50:03","2020-12-07 09:51:40",97.0,2,2,brochure
36,2,/home,/form/brochure,"2020-12-07 11:18:04","2020-12-07 11:18:35",31.0,1,0,brochure
