leads_id,ga_id,Page_Name,page_ts,seq_id,time_spent,form_page,info_page
1,1,/home,"2020-11-25 13:47:09",1,31.0,0,0
1,2,/features,"2020-11-25 13:47:40",2,30.0,0,1
1,3,/testimonials,"2020-11-25 13:48:10",3,29.0,0,1
1,4,/form/demo,"2020-11-25 13:48:39",4,13.0,1,0
1,5,/form/set-a-meeting,"2020-11-25 13:48:52",5,,1,0
2,6,/features,"2020-11-26 09:02:24",1,44.0,0,1
2,7,/form/demo,"2020-11-26 09:03:08",2,19.0,1,0
2,8,/form/brochure,"2020-11-26 09:03:27",3,,1,0
3,9,/portofolio,"2020-11-26 09:24:31",1,44.0,0,1
3,10,/form/set-a-meeting,"2020-11-26 09:25:15",2,,1,0
4,11,/portofolio,"2020-11-26 13:53:29",1,42.0,0,1
4,12,/testimonials,"2020-11-26 13:54:11",2,25.0,0,1
4,13,/portofolio,"2020-11-26 13:54:36",3,24.0,0,1
4,14,/testimonials,"2020-11-26 13:55:00",4,22.0,0,1
4,15,/form/brochure,"2020-11-26 13:55:22",5,,1,0
5,16,/features,"2020-11-27 11:05:15",1,43.0,0,1
5,17,/form/set-a-meeting,"2020-11-27 11:05:58",2,20.0,1,0
5,18,/form/brochure,"2020-11-27 11:06:18",3,,1,0
6,19,/portofolio,"2020-11-30 09:13:40",1,47.0,0,1
6,20,/testimonials,"2020-11-30 09:14:27",2,25.0,0,1
6,21,/form/brochure,"2020-11-30 09:14:52",3,15.0,1,0
6,22,/studycase,"2020-11-30 09:15:07",4,21.0,0,1
6,23,/form/set-a-meeting,"2020-11-30 09:15:28",5,,1,0
7,24,/home,"2020-11-30 12:12:30",1,31.0,0,0
7,25,/features,"2020-11-30 12:13:01",2,21.0,0,1
7,26,/form/brochure,"2020-11-30 12:13:22",3,,1,0
8,27,/home,"2020-11-30 16:08:34",1,33.0,0,0
8,28,/testimonials,"2020-11-30 16:09:07",2,28.0,0,1
8,29,/form/brochure,"2020-11-30 16:09:35",3,,1,0
9,30,/features,"2020-11-30 16:32:07",1,45.0,0,1
9,31,/form/demo,"2020-11-30 16:32:52",2,15.0,1,0
9,32,/testimonials,"2020-11-30 16:33:07",3,26.0,0,1
9,33,/form/brochure,"2020-11-30 16:33:33",4,,1,0
10,34,/features,"2020-11-30 17:50:30",1,44.0,0,1
10,35,/testimonials,"2020-11-30 17:51:14",2,25.0,0,1
10,36,/form/publications,"2020-11-30 17:51:39",3,13.0,1,0
10,37,/features,"2020-11-30 17:51:52",4,25.0,0,1
10,38,/form/brochure,"2020-11-30 17:52:17",5,,1,0
11,39,/testimonials,"2020-12-01 09:16:47",1,46.0,0,1
11,40,/portofolio,"2020-12-01 09:17:33",2,29.0,0,1
11,41,/testimonials,"2020-12-01 09:18:02",3,22.0,0,1
11,42,/form/publications,"2020-12-01 09:18:24",4,15.0,1,0
11,43,/features,"2020-12-01 09:18:39",5,25.0,0,1
11,44,/form/set-a-meeting,"2020-12-01 09:19:04",6,,1,0
12,45,/studycase,"2020-12-01 10:12:11",1,44.0,0,1
12,46,/form/set-a-meeting,"2020-12-01 10:12:55",2,,1,0
13,47,/home,"2020-12-01 11:22:49",1,30.0,0,0
13,48,/features,"2020-12-01 11:23:19",2,21.0,0,1
13,49,/form/demo,"2020-12-01 11:23:40",3,,1,0
14,50,/portofolio,"2020-12-02 09:16:07",1,42.0,0,1
14,51,/form/set-a-meeting,"2020-12-02 09:16:49",2,,1,0
15,52,/form/set-a-meeting,"2020-12-02 10:30:01",1,,1,0
16,53,/home,"2020-12-02 12:56:54",1,38.0,0,0
16,54,/form/set-a-meeting,"2020-12-02 12:57:32",2,,1,0
17,55,/home,"2020-12-02 14:25:53",1,34.0,0,0
17,56,/form/set-a-meeting,"2020-12-02 14:26:27",2,,1,0
18,57,/form/brochure,"2020-12-02 14:46:22",1,,1,0
19,58,/home,"2020-12-02 15:06:32",1,37.0,0,0
19,59,/form/demo,"2020-12-02 15:07:09",2,12.0,1,0
19,60,/features,"2020-12-02 15:07:21",3,30.0,0,1
19,61,/form/brochure,"2020-12-02 15:07:51",4,,1,0
20,62,/portofolio,"2020-12-02 15:11:01",1,48.0,0,1
20,63,/testimonials,"2020-12-02 15:11:49",2,20.0,0,1
20,64,/portofolio,"2020-12-02 15:12:09",3,30.0,0,1
