leads_id,month_period,current_contract_id,starting_date,expired_date,active_flag,subscription_type,number_of_employee,reten_flag,user_price,contract_value,prev_subscription_type,changing_flag
10,2021-01-01,20,2021-01-07,2022-01-07,1,Startup,100,0,20000,1800000,,
10,2021-02-01,20,2021-01-07,2022-01-07,1,Startup,100,0,20000,1800000,Startup,0
10,2021-03-01,20,2021-01-07,2022-01-07,1,Startup,100,0,20000,1800000,Startup,0
10,2021-04-01,20,2021-01-07,2022-01-07,1,Startup,100,0,20000,1800000,Startup,0
10,2021-05-01,20,2021-01-07,2022-01-07,1,Startup,100,0,20000,1800000,Startup,0
10,2021-06-01,20,2021-01-07,2022-01-07,1,Startup,100,0,20000,1800000,Startup,0
10,2021-07-01,20,2021-01-07,2022-01-07,1,Startup,100,0,20000,1800000,Startup,0
10,2021-08-01,20,2021-01-07,2022-01-07,1,Startup,100,0,20000,1800000,Startup,0
10,2021-09-01,20,2021-01-07,2022-01-07,1,Startup,100,0,20000,1800000,Startup,0
10,2021-10-01,20,2021-01-07,2022-01-07,1,Startup,100,0,20000,1800000,Startup,0
10,2021-11-01,20,2021-01-07,2022-01-07,1,Startup,100,0,20000,1800000,Startup,0
10,2021-12-01,20,2021-01-07,2022-01-07,1,Startup,100,0,20000,1800000,Startup,0
10,2022-01-01,393,2022-01-07,2023-01-07,1,Startup,100,1,20000,2000000,Startup,0
10,2022-02-01,393,2022-01-07,2023-01-07,1,Startup,100,1,20000,2000000,Startup,0
10,2022-03-01,393,2022-01-07,2023-01-07,1,Startup,100,1,20000,2000000,Startup,0
10,2022-04-01,393,2022-01-07,2023-01-07,1,Startup,100,1,20000,2000000,Startup,0
10,2022-05-01,393,2022-01-07,2023-01-07,1,Startup,100,1,20000,2000000,Startup,0
10,2022-06-01,393,2022-01-07,2023-01-07,1,Startup,100,1,20000,2000000,Startup,0
10,2022-07-01,393,2022-01-07,2023-01-07,1,Startup,100,1,20000,2000000,Startup,0
10,2022-08-01,393,2022-01-07,2023-01-07,1,Startup,100,1,20000,2000000,Startup,0
10,2022-09-01,393,2022-01-07,2023-01-07,1,Startup,100,1,20000,2000000,Startup,0
10,2022-10-01,393,2022-01-07,2023-01-07,1,Startup,100,1,20000,2000000,Startup,0
10,2022-11-01,393,2022-01-07,2023-01-07,1,Startup,100,1,20000,2000000,Startup,0
10,2022-12-01,393,2022-01-07,2023-01-07,1,Startup,100,1,20000,2000000,Startup,0
1000,2021-09-01,247,2021-09-27,2022-09-27,1,Startup,150,0,20000,3000000,,
1000,2021-10-01,247,2021-09-27,2022-09-27,1,Startup,150,0,20000,3000000,Startup,0
1000,2021-11-01,247,2021-09-27,2022-09-27,1,Startup,150,0,20000,3000000,Startup,0
1000,2021-12-01,247,2021-09-27,2022-09-27,1,Startup,150,0,20000,3000000,Startup,0
1000,2022-01-01,247,2021-09-27,2022-09-27,1,Startup,150,0,20000,3000000,Startup,0
1000,2022-02-01,247,2021-09-27,2022-09-27,1,Startup,150,0,20000,3000000,Startup,0
1000,2022-03-01,247,2021-09-27,2022-09-27,1,Startup,150,0,20000,3000000,Startup,0
1000,2022-04-01,247,2021-09-27,2022-09-27,1,Startup,150,0,20000,3000000,Startup,0
1000,2022-05-01,247,2021-09-27,2022-09-27,1,Startup,150,0,20000,3000000,Startup,0
1000,2022-06-01,247,2021-09-27,2022-09-27,1,Startup,150,0,20000,3000000,Startup,0
1000,2022-07-01,247,2021-09-27,2022-09-27,1,Startup,150,0,20000,3000000,Startup,0
1000,2022-08-01,247,2021-09-27,2022-09-27,1,Startup,150,0,20000,3000000,Startup,0
1000,2022-09-01,956,2022-09-27,2023-09-27,1,Startup,150,1,20000,3000000,Startup,0
1000,2022-10-01,956,2022-09-27,2023-09-27,1,Startup,150,1,20000,3000000,Startup,0
1000,2022-11-01,956,2022-09-27,2023-09-27,1,Startup,150,1,20000,3000000,Startup,0
