contract_id,leads_id,date,subscription_type,no_of_employee,reten_flag,user_price,contract_value,discount_type_code,user_price_after,discount_percent
135,516,2021-05-25,Startup,200,0,20000,4000000,D0,20000,0
152,581,2021-06-07,Startup,200,0,20000,4000000,D0,20000,0
672,516,2022-05-25,Startup,200,1,20000,4000000,D0,20000,0
706,581,2022-06-07,Startup,200,1,20000,4000000,D0,20000,0
748,2197,2022-07-01,Startup,250,0,20000,4000000,D2,16000,20
849,747,2022-07-30,Startup,200,1,20000,4000000,D0,20000,0
1488,2269,2023-07-08,Startup,200,1,20000,4000000,D0,20000,0
1654,2955,2023-10-27,Startup,200,1,20000,4000000,D0,20000,0
1386,1983,2023-04-27,Startup,400,1,20000,8000000,D0,20000,0
432,1530,2022-01-31,Startup,70,0,20000,1120000,D2,16000,20
585,1859,2022-04-14,Startup,70,0,20000,1120000,D2,16000,20
792,2322,2022-07-11,Startup,70,0,20000,1120000,D2,16000,20
811,2383,2022-07-22,Startup,70,0,20000,1120000,D2,16000,20
362,1376,2022-01-03,Startup,140,0,20000,2240000,D2,16000,20
380,1329,2022-01-05,Startup,140,0,20000,2240000,D2,16000,20
407,1435,2022-01-21,Startup,140,0,20000,2240000,D2,16000,20
413,1473,2022-01-25,Startup,140,0,20000,2240000,D2,16000,20
414,1492,2022-01-25,Startup,140,0,20000,2240000,D2,16000,20
421,1502,2022-01-27,Startup,140,0,20000,2240000,D2,16000,20
428,1471,2022-01-28,Startup,140,0,20000,2240000,D2,16000,20
540,1737,2022-04-01,Startup,140,0,20000,2240000,D2,16000,20
551,1749,2022-04-04,Startup,140,0,20000,2240000,D2,16000,20
555,1826,2022-04-04,Startup,140,0,20000,2240000,D2,16000,20
563,1827,2022-04-05,Startup,140,0,20000,2240000,D2,16000,20
604,1915,2022-04-25,Startup,140,0,20000,2240000,D2,16000,20
617,1970,2022-04-27,Startup,140,0,20000,2240000,D2,16000,20
624,1891,2022-04-29,Startup,140,0,20000,2240000,D2,16000,20
749,2229,2022-07-01,Startup,140,0,20000,2240000,D2,16000,20
995,2836,2022-10-05,Startup,140,0,20000,2240000,D2,16000,20
1014,2844,2022-10-07,Startup,140,0,20000,2240000,D2,16000,20
1024,2908,2022-10-14,Startup,140,0,20000,2240000,D2,16000,20
1035,2935,2022-10-21,Startup,140,0,20000,2240000,D2,16000,20
1088,3068,2022-10-31,Startup,140,0,20000,2240000,D2,16000,20
381,1373,2022-01-05,Startup,50,0,20000,800000,D2,16000,20
744,2267,2022-07-01,Startup,50,0,20000,800000,D2,16000,20
768,2306,2022-07-05,Startup,50,0,20000,800000,D2,16000,20
779,2275,2022-07-07,Startup,50,0,20000,800000,D2,16000,20
976,2801,2022-10-03,Startup,50,0,20000,800000,D2,16000,20
990,2754,2022-10-04,Startup,50,0,20000,800000,D2,16000,20
1003,2774,2022-10-05,Startup,50,0,20000,800000,D2,16000,20
1047,2979,2022-10-25,Startup,50,0,20000,800000,D2,16000,20
387,1358,2022-01-06,Startup,120,0,20000,1920000,D2,16000,20
408,1456,2022-01-21,Startup,120,0,20000,1920000,D2,16000,20
411,1457,2022-01-24,Startup,120,0,20000,1920000,D2,16000,20
760,2260,2022-07-04,Startup,120,0,20000,1920000,D2,16000,20
778,2320,2022-07-07,Startup,120,0,20000,1920000,D2,16000,20
999,2862,2022-10-05,Startup,120,0,20000,1920000,D2,16000,20
121,432,2021-05-06,Startup,80,0,20000,1600000,D0,20000,0
142,536,2021-06-01,Startup,80,0,20000,1600000,D0,20000,0
206,794,2021-08-03,Startup,80,0,20000,1600000,D0,20000,0
229,859,2021-09-01,Startup,80,0,20000,1600000,D0,20000,0
241,925,2021-09-15,Startup,80,0,20000,1600000,D0,20000,0
360,1383,2022-01-03,Startup,100,0,20000,1600000,D2,16000,20
368,1310,2022-01-04,Startup,100,0,20000,1600000,D2,16000,20
463,1598,2022-02-09,Startup,80,0,20000,1600000,D0,20000,0
501,1671,2022-03-04,Startup,80,0,20000,1600000,D0,20000,0
547,1783,2022-04-04,Startup,100,0,20000,1600000,D2,16000,20
650,432,2022-05-06,Startup,80,1,20000,1600000,D0,20000,0
671,2049,2022-05-24,Startup,80,0,20000,1600000,D0,20000,0
685,536,2022-06-01,Startup,80,1,20000,1600000,D0,20000,0
701,2092,2022-06-03,Startup,80,0,20000,1600000,D0,20000,0
