leads_id,funnel_id,stage,stage_id,timestamp,step_id,prev_funnel_id,starting_ts,duration,drop_flag,reason
1,1,leads_registered,101,"2020-11-25 13:49:44",0,,,,0,""
1,16,leads_qualification,102,"2020-12-02 10:07:04",1,1,"2020-11-25 13:49:44",6.85,0,""
1,36,initial_communication_success,103,"2020-12-04 12:57:14",2,16,"2020-12-02 10:07:04",2.12,0,""
1,61,approach_success,104,"2020-12-07 13:49:28",3,36,"2020-12-04 12:57:14",3.04,1,"not answered"
2,154,discussion_success,105,"2020-12-14 09:56:32",4,60,"2020-12-07 12:32:29",6.89,0,""
2,189,offer_sent,106,"2020-12-15 16:43:05",5,154,"2020-12-14 09:56:32",1.28,0,""
2,2,leads_registered,101,"2020-11-26 09:04:53",0,,,,0,""
2,25,leads_qualification,102,"2020-12-03 13:07:29",1,2,"2020-11-26 09:04:53",7.17,0,""
2,29,initial_communication_success,103,"2020-12-04 09:41:16",2,25,"2020-12-03 13:07:29",0.86,0,""
2,324,quotation_recieved,107,"2020-12-24 14:10:10",6,189,"2020-12-15 16:43:05",8.89,0,""
2,459,deal_won,108,"2021-01-01 17:45:51",7,324,"2020-12-24 14:10:10",8.15,0,""
2,60,approach_success,104,"2020-12-07 12:32:29",3,29,"2020-12-04 09:41:16",3.12,0,""
3,27,leads_qualification,102,"2020-12-03 17:25:06",1,3,"2020-11-26 09:26:32",7.33,0,""
3,3,leads_registered,101,"2020-11-26 09:26:32",0,,,,0,""
3,30,initial_communication_success,103,"2020-12-04 09:50:03",2,27,"2020-12-03 17:25:06",0.68,0,""
3,53,approach_success,104,"2020-12-07 10:21:42",3,30,"2020-12-04 09:50:03",3.02,1,"not answered"
4,14,leads_qualification,102,"2020-12-01 16:36:31",1,4,"2020-11-26 13:56:31",5.11,0,""
4,23,initial_communication_success,103,"2020-12-02 16:22:27",2,14,"2020-12-01 16:36:31",0.99,1,"not answered"
4,4,leads_registered,101,"2020-11-26 13:56:31",0,,,,0,""
5,157,discussion_success,105,"2020-12-14 10:35:05",4,78,"2020-12-08 12:24:03",5.92,0,""
5,190,offer_sent,106,"2020-12-15 16:48:11",5,157,"2020-12-14 10:35:05",1.26,1,"not interested"
5,35,leads_qualification,102,"2020-12-04 12:17:43",1,5,"2020-11-27 11:07:38",7.05,0,""
5,5,leads_registered,101,"2020-11-27 11:07:38",0,,,,0,""
5,69,initial_communication_success,103,"2020-12-07 17:07:27",2,35,"2020-12-04 12:17:43",3.2,0,""
5,78,approach_success,104,"2020-12-08 12:24:03",3,69,"2020-12-07 17:07:27",0.8,0,""
6,107,approach_success,104,"2020-12-10 11:13:12",3,67,"2020-12-07 16:57:47",2.76,0,""
6,240,discussion_success,105,"2020-12-18 11:01:29",4,107,"2020-12-10 11:13:12",7.99,0,""
6,296,offer_sent,106,"2020-12-22 17:15:39",5,240,"2020-12-18 11:01:29",4.26,0,""
6,34,leads_qualification,102,"2020-12-04 11:11:06",1,6,"2020-11-30 09:16:32",4.08,0,""
6,417,quotation_recieved,107,"2020-12-31 11:18:48",6,296,"2020-12-22 17:15:39",8.75,0,""
6,510,deal_won,108,"2021-01-05 10:40:32",7,417,"2020-12-31 11:18:48",4.97,0,""
6,6,leads_registered,101,"2020-11-30 09:16:32",0,,,,0,""
6,67,initial_communication_success,103,"2020-12-07 16:57:47",2,34,"2020-12-04 11:11:06",3.24,0,""
7,102,approach_success,104,"2020-12-09 17:33:41",3,63,"2020-12-07 15:09:28",2.1,0,""
7,151,discussion_success,105,"2020-12-14 09:43:59",4,102,"2020-12-09 17:33:41",4.67,1,"not interested"
7,28,leads_qualification,102,"2020-12-04 09:00:05",1,7,"2020-11-30 12:14:43",3.86,0,""
7,63,initial_communication_success,103,"2020-12-07 15:09:28",2,28,"2020-12-04 09:00:05",3.26,0,""
7,7,leads_registered,101,"2020-11-30 12:14:43",0,,,,0,""
8,166,discussion_success,105,"2020-12-14 15:44:18",4,75,"2020-12-08 11:30:05",6.18,0,""
8,179,offer_sent,106,"2020-12-15 09:59:06",5,166,"2020-12-14 15:44:18",0.76,0,""
8,330,quotation_recieved,107,"2020-12-24 17:50:23",6,179,"2020-12-15 09:59:06",9.33,0,""
8,42,leads_qualification,102,"2020-12-04 16:09:00",1,8,"2020-11-30 16:11:03",4.0,0,""
8,442,deal_won,108,"2021-01-01 11:08:33",7,330,"2020-12-24 17:50:23",7.72,0,""
8,52,initial_communication_success,103,"2020-12-07 10:00:12",2,42,"2020-12-04 16:09:00",2.74,0,""
