leads_id,step_id,starting_ts,start_of_week,ending_ts,end_of_week
1,0,2020-11-25,2020-11-23,2020-11-25,2020-11-29
1,0,2020-11-25,2020-11-30,2020-11-25,2020-12-06
1,1,2020-11-25,2020-11-23,2020-12-02,2020-11-29
1,1,2020-11-25,2020-11-30,2020-12-02,2020-12-06
1,1,2020-11-25,2020-12-07,2020-12-02,2020-12-13
1,2,2020-12-02,2020-11-30,2020-12-04,2020-12-06
1,2,2020-12-02,2020-12-07,2020-12-04,2020-12-13
1,3,2020-12-04,2020-11-30,2020-12-07,2020-12-06
1,3,2020-12-04,2020-12-07,2020-12-07,2020-12-13
1,3,2020-12-04,2020-12-14,2020-12-07,2020-12-20
2,0,2020-11-26,2020-11-23,2020-11-26,2020-11-29
2,0,2020-11-26,2020-11-30,2020-11-26,2020-12-06
2,1,2020-11-26,2020-11-23,2020-12-03,2020-11-29
2,1,2020-11-26,2020-11-30,2020-12-03,2020-12-06
2,1,2020-11-26,2020-12-07,2020-12-03,2020-12-13
2,2,2020-12-03,2020-11-30,2020-12-04,2020-12-06
2,2,2020-12-03,2020-12-07,2020-12-04,2020-12-13
2,3,2020-12-04,2020-11-30,2020-12-07,2020-12-06
2,3,2020-12-04,2020-12-07,2020-12-07,2020-12-13
2,3,2020-12-04,2020-12-14,2020-12-07,2020-12-20
2,4,2020-12-07,2020-12-07,2020-12-14,2020-12-13
2,4,2020-12-07,2020-12-14,2020-12-14,2020-12-20
2,4,2020-12-07,2020-12-21,2020-12-14,2020-12-27
2,5,2020-12-14,2020-12-14,2020-12-15,2020-12-20
2,5,2020-12-14,2020-12-21,2020-12-15,2020-12-27
2,6,2020-12-15,2020-12-14,2020-12-24,2020-12-20
2,6,2020-12-15,2020-12-21,2020-12-24,2020-12-27
2,6,2020-12-15,2020-12-28,2020-12-24,2021-01-03
2,7,2020-12-24,2020-12-21,2021-01-01,2020-12-27
2,7,2020-12-24,2020-12-28,2021-01-01,2021-01-03
2,7,2020-12-24,2021-01-04,2021-01-01,2021-01-10
3,0,2020-11-26,2020-11-23,2020-11-26,2020-11-29
3,0,2020-11-26,2020-11-30,2020-11-26,2020-12-06
3,1,2020-11-26,2020-11-23,2020-12-03,2020-11-29
3,1,2020-11-26,2020-11-30,2020-12-03,2020-12-06
3,1,2020-11-26,2020-12-07,2020-12-03,2020-12-13
3,2,2020-12-03,2020-11-30,2020-12-04,2020-12-06
3,2,2020-12-03,2020-12-07,2020-12-04,2020-12-13
3,3,2020-12-04,2020-11-30,2020-12-07,2020-12-06
3,3,2020-12-04,2020-12-07,2020-12-07,2020-12-13
3,3,2020-12-04,2020-12-14,2020-12-07,2020-12-20
4,0,2020-11-26,2020-11-23,2020-11-26,2020-11-29
4,0,2020-11-26,2020-11-30,2020-11-26,2020-12-06
4,1,2020-11-26,2020-11-23,2020-12-01,2020-11-29
4,1,2020-11-26,2020-11-30,2020-12-01,2020-12-06
4,1,2020-11-26,2020-12-07,2020-12-01,2020-12-13
4,2,2020-12-01,2020-11-30,2020-12-02,2020-12-06
4,2,2020-12-01,2020-12-07,2020-12-02,2020-12-13
5,0,2020-11-27,2020-11-23,2020-11-27,2020-11-29
5,0,2020-11-27,2020-11-30,2020-11-27,2020-12-06
5,1,2020-11-27,2020-11-23,2020-12-04,2020-11-29
5,1,2020-11-27,2020-11-30,2020-12-04,2020-12-06
5,1,2020-11-27,2020-12-07,2020-12-04,2020-12-13
5,2,2020-12-04,2020-11-30,2020-12-07,2020-12-06
5,2,2020-12-04,2020-12-07,2020-12-07,2020-12-13
5,2,2020-12-04,2020-12-14,2020-12-07,2020-12-20
5,3,2020-12-07,2020-12-07,2020-12-08,2020-12-13
5,3,2020-12-07,2020-12-14,2020-12-08,2020-12-20
5,4,2020-12-08,2020-12-07,2020-12-14,2020-12-13
5,4,2020-12-08,2020-12-14,2020-12-14,2020-12-20
5,4,2020-12-08,2020-12-21,2020-12-14,2020-12-27
5,5,2020-12-14,2020-12-14,2020-12-15,2020-12-20
5,5,2020-12-14,2020-12-21,2020-12-15,2020-12-27
6,0,2020-11-30,2020-11-30,2020-11-30,2020-12-06
6,0,2020-11-30,2020-12-07,2020-11-30,2020-12-13
6,1,2020-11-30,2020-11-30,2020-12-04,2020-12-06
6,1,2020-11-30,2020-12-07,2020-12-04,2020-12-13
6,2,2020-12-04,2020-11-30,2020-12-07,2020-12-06
6,2,2020-12-04,2020-12-07,2020-12-07,2020-12-13
6,2,2020-12-04,2020-12-14,2020-12-07,2020-12-20
