month_period,funnel_id,leads_id,stage_id,stage_name,stage_date,stage_time,reason,reason_id,drop_flag,stage_month_id,stage_month,first_date,first_month
2020-11-01,1,1,101,"Lead Registered",2020-11-25,13:49:44,,0,0,1,2020-11-01,2020-11-25,2020-11-01
2020-11-01,16,1,102,"Lead Qualification",2020-12-02,10:07:04,,0,0,2,2020-12-01,2020-11-25,2020-11-01
2020-11-01,36,1,103,"Initial Communication Success",2020-12-04,12:57:14,,0,0,2,2020-12-01,2020-11-25,2020-11-01
2020-11-01,61,1,104,"Approach Success",2020-12-07,13:49:28,"Not Answered",1,1,2,2020-12-01,2020-11-25,2020-11-01
2020-11-01,2,2,101,"Lead Registered",2020-11-26,09:04:53,,0,0,1,2020-11-01,2020-11-26,2020-11-01
2020-11-01,25,2,102,"Lead Qualification",2020-12-03,13:07:29,,0,0,2,2020-12-01,2020-11-26,2020-11-01
2020-11-01,29,2,103,"Initial Communication Success",2020-12-04,09:41:16,,0,0,2,2020-12-01,2020-11-26,2020-11-01
2020-11-01,60,2,104,"Approach Success",2020-12-07,12:32:29,,0,0,2,2020-12-01,2020-11-26,2020-11-01
2020-11-01,154,2,105,"Discussion Success",2020-12-14,09:56:32,,0,0,2,2020-12-01,2020-11-26,2020-11-01
2020-11-01,189,2,106,"Offer Sent",2020-12-15,16:43:05,,0,0,2,2020-12-01,2020-11-26,2020-11-01
2020-11-01,324,2,107,"Quatation Received",2020-12-24,14:10:10,,0,0,2,2020-12-01,2020-11-26,2020-11-01
2020-11-01,459,2,108,"Deal Won",2021-01-01,17:45:51,,0,0,3,2021-01-01,2020-11-26,2020-11-01
2020-11-01,3,3,101,"Lead Registered",2020-11-26,09:26:32,,0,0,1,2020-11-01,2020-11-26,2020-11-01
2020-11-01,27,3,102,"Lead Qualification",2020-12-03,17:25:06,,0,0,2,2020-12-01,2020-11-26,2020-11-01
2020-11-01,30,3,103,"Initial Communication Success",2020-12-04,09:50:03,,0,0,2,2020-12-01,2020-11-26,2020-11-01
2020-11-01,53,3,104,"Approach Success",2020-12-07,10:21:42,"Not Answered",1,1,2,2020-12-01,2020-11-26,2020-11-01
2020-11-01,4,4,101,"Lead Registered",2020-11-26,13:56:31,,0,0,1,2020-11-01,2020-11-26,2020-11-01
2020-11-01,14,4,102,"Lead Qualification",2020-12-01,16:36:31,,0,0,2,2020-12-01,2020-11-26,2020-11-01
2020-11-01,23,4,103,"Initial Communication Success",2020-12-02,16:22:27,"Not Answered",1,1,2,2020-12-01,2020-11-26,2020-11-01
2020-11-01,5,5,101,"Lead Registered",2020-11-27,11:07:38,,0,0,1,2020-11-01,2020-11-27,2020-11-01
2020-11-01,35,5,102,"Lead Qualification",2020-12-04,12:17:43,,0,0,2,2020-12-01,2020-11-27,2020-11-01
2020-11-01,69,5,103,"Initial Communication Success",2020-12-07,17:07:27,,0,0,2,2020-12-01,2020-11-27,2020-11-01
2020-11-01,78,5,104,"Approach Success",2020-12-08,12:24:03,,0,0,2,2020-12-01,2020-11-27,2020-11-01
2020-11-01,157,5,105,"Discussion Success",2020-12-14,10:35:05,,0,0,2,2020-12-01,2020-11-27,2020-11-01
2020-11-01,190,5,106,"Offer Sent",2020-12-15,16:48:11,,,1,2,2020-12-01,2020-11-27,2020-11-01
2020-11-01,6,6,101,"Lead Registered",2020-11-30,09:16:32,,0,0,1,2020-11-01,2020-11-30,2020-11-01
2020-11-01,34,6,102,"Lead Qualification",2020-12-04,11:11:06,,0,0,2,2020-12-01,2020-11-30,2020-11-01
2020-11-01,67,6,103,"Initial Communication Success",2020-12-07,16:57:47,,0,0,2,2020-12-01,2020-11-30,2020-11-01
2020-11-01,107,6,104,"Approach Success",2020-12-10,11:13:12,,0,0,2,2020-12-01,2020-11-30,2020-11-01
2020-11-01,240,6,105,"Discussion Success",2020-12-18,11:01:29,,0,0,2,2020-12-01,2020-11-30,2020-11-01
2020-11-01,296,6,106,"Offer Sent",2020-12-22,17:15:39,,0,0,2,2020-12-01,2020-11-30,2020-11-01
2020-11-01,417,6,107,"Quatation Received",2020-12-31,11:18:48,,0,0,2,2020-12-01,2020-11-30,2020-11-01
2020-11-01,510,6,108,"Deal Won",2021-01-05,10:40:32,,0,0,3,2021-01-01,2020-11-30,2020-11-01
2020-11-01,7,7,101,"Lead Registered",2020-11-30,12:14:43,,0,0,1,2020-11-01,2020-11-30,2020-11-01
2020-11-01,28,7,102,"Lead Qualification",2020-12-04,09:00:05,,0,0,2,2020-12-01,2020-11-30,2020-11-01
2020-11-01,63,7,103,"Initial Communication Success",2020-12-07,15:09:28,,0,0,2,2020-12-01,2020-11-30,2020-11-01
2020-11-01,102,7,104,"Approach Success",2020-12-09,17:33:41,,0,0,2,2020-12-01,2020-11-30,2020-11-01
2020-11-01,151,7,105,"Discussion Success",2020-12-14,09:43:59,,,1,2,2020-12-01,2020-11-30,2020-11-01
2020-11-01,8,8,101,"Lead Registered",2020-11-30,16:11:03,,0,0,1,2020-11-01,2020-11-30,2020-11-01
2020-11-01,42,8,102,"Lead Qualification",2020-12-04,16:09:00,,0,0,2,2020-12-01,2020-11-30,2020-11-01
2020-11-01,52,8,103,"Initial Communication Success",2020-12-07,10:00:12,,0,0,2,2020-12-01,2020-11-30,2020-11-01
2020-11-01,75,8,104,"Approach Success",2020-12-08,11:30:05,,0,0,2,2020-12-01,2020-11-30,2020-11-01
2020-11-01,166,8,105,"Discussion Success",2020-12-14,15:44:18,,0,0,2,2020-12-01,2020-11-30,2020-11-01
2020-11-01,179,8,106,"Offer Sent",2020-12-15,09:59:06,,0,0,2,2020-12-01,2020-11-30,2020-11-01
2020-11-01,330,8,107,"Quatation Received",2020-12-24,17:50:23,,0,0,2,2020-12-01,2020-11-30,2020-11-01
2020-11-01,442,8,108,"Deal Won",2021-01-01,11:08:33,,0,0,3,2021-01-01,2020-11-30,2020-11-01
2020-11-01,9,9,101,"Lead Registered",2020-11-30,16:34:52,,0,0,1,2020-11-01,2020-11-30,2020-11-01
2020-11-01,68,9,102,"Lead Qualification",2020-12-07,17:06:59,,0,0,2,2020-12-01,2020-11-30,2020-11-01
2020-11-01,86,9,103,"Initial Communication Success",2020-12-08,17:43:05,,0,0,2,2020-12-01,2020-11-30,2020-11-01
2020-11-01,138,9,104,"Approach Success",2020-12-11,15:56:09,,0,0,2,2020-12-01,2020-11-30,2020-11-01
2020-11-01,232,9,105,"Discussion Success",2020-12-17,17:41:18,,0,0,2,2020-12-01,2020-11-30,2020-11-01
