contract_id,discount_type_code,discount_type,month_discount,deal_won,user_price_after,discount_reten_flag
4,D1,2021_quarter_discount,3 month discounts,2021-01-01 10:45:45,18000,0
8,D1,2021_quarter_discount,3 month discounts,2021-01-04 12:27:39,18000,0
12,D1,2021_quarter_discount,3 month discounts,2021-01-05 10:40:32,18000,0
14,D1,2021_quarter_discount,3 month discounts,2021-01-05 11:38:35,18000,0
19,D1,2021_quarter_discount,3 month discounts,2021-01-07 11:34:42,18000,0
20,D1,2021_quarter_discount,3 month discounts,2021-01-07 13:59:46,18000,0
22,D1,2021_quarter_discount,3 month discounts,2021-01-08 10:31:05,18000,0
23,D1,2021_quarter_discount,3 month discounts,2021-01-08 16:30:29,18000,0
31,D1,2021_quarter_discount,3 month discounts,2021-01-27 16:59:24,18000,0
33,D1,2021_quarter_discount,3 month discounts,2021-01-28 11:39:24,18000,0
80,D1,2021_quarter_discount,3 month discounts,2021-04-01 11:27:43,18000,0
82,D1,2021_quarter_discount,3 month discounts,2021-04-01 13:54:48,18000,0
89,D1,2021_quarter_discount,3 month discounts,2021-04-05 13:15:38,18000,0
90,D1,2021_quarter_discount,3 month discounts,2021-04-05 17:40:30,18000,0
92,D1,2021_quarter_discount,3 month discounts,2021-04-06 11:23:35,18000,0
93,D1,2021_quarter_discount,3 month discounts,2021-04-06 14:46:37,18000,0
96,D1,2021_quarter_discount,3 month discounts,2021-04-08 10:36:52,18000,0
104,D1,2021_quarter_discount,3 month discounts,2021-04-23 10:38:34,18000,0
108,D1,2021_quarter_discount,3 month discounts,2021-04-27 14:55:42,18000,0
110,D1,2021_quarter_discount,3 month discounts,2021-04-28 15:43:54,18000,0
112,D1,2021_quarter_discount,3 month discounts,2021-04-28 17:50:50,18000,0
114,D1,2021_quarter_discount,3 month discounts,2021-04-30 16:36:34,18000,0
167,D1,2021_quarter_discount,3 month discounts,2021-07-01 10:09:48,18000,0
169,D1,2021_quarter_discount,3 month discounts,2021-07-01 13:11:44,18000,0
171,D1,2021_quarter_discount,3 month discounts,2021-07-02 11:17:07,18000,0
174,D1,2021_quarter_discount,3 month discounts,2021-07-02 15:14:07,18000,0
175,D1,2021_quarter_discount,3 month discounts,2021-07-05 15:07:34,18000,0
184,D1,2021_quarter_discount,3 month discounts,2021-07-22 16:41:59,18000,0
185,D1,2021_quarter_discount,3 month discounts,2021-07-22 17:36:41,18000,0
186,D1,2021_quarter_discount,3 month discounts,2021-07-23 16:30:28,18000,0
189,D1,2021_quarter_discount,3 month discounts,2021-07-27 09:42:44,18000,0
194,D1,2021_quarter_discount,3 month discounts,2021-07-29 13:18:34,18000,0
195,D1,2021_quarter_discount,3 month discounts,2021-07-29 16:01:14,18000,0
196,D1,2021_quarter_discount,3 month discounts,2021-07-29 17:11:04,18000,0
201,D1,2021_quarter_discount,3 month discounts,2021-07-30 16:55:55,18000,0
256,D1,2021_quarter_discount,3 month discounts,2021-10-01 10:45:08,18000,0
257,D1,2021_quarter_discount,3 month discounts,2021-10-01 12:01:17,18000,0
259,D1,2021_quarter_discount,3 month discounts,2021-10-01 15:16:46,18000,0
261,D1,2021_quarter_discount,3 month discounts,2021-10-01 17:55:38,18000,0
265,D1,2021_quarter_discount,3 month discounts,2021-10-04 14:07:17,18000,0
267,D1,2021_quarter_discount,3 month discounts,2021-10-06 10:57:17,18000,0
268,D1,2021_quarter_discount,3 month discounts,2021-10-07 12:05:17,18000,0
269,D1,2021_quarter_discount,3 month discounts,2021-10-08 15:44:38,18000,0
270,D1,2021_quarter_discount,3 month discounts,2021-10-12 13:21:37,18000,0
273,D1,2021_quarter_discount,3 month discounts,2021-10-18 11:09:06,18000,0
275,D1,2021_quarter_discount,3 month discounts,2021-10-20 12:11:26,18000,0
278,D1,2021_quarter_discount,3 month discounts,2021-10-25 10:09:12,18000,0
286,D1,2021_quarter_discount,3 month discounts,2021-10-28 15:44:15,18000,0
288,D1,2021_quarter_discount,3 month discounts,2021-10-29 09:58:46,18000,0
291,D1,2021_quarter_discount,3 month discounts,2021-10-29 16:43:23,18000,0
292,D1,2021_quarter_discount,3 month discounts,2021-10-29 16:46:11,18000,0
9,D1,2021_quarter_discount,3 month discounts,2021-01-04 14:43:29,13500,0
15,D1,2021_quarter_discount,3 month discounts,2021-01-05 12:21:38,13500,0
17,D1,2021_quarter_discount,3 month discounts,2021-01-07 10:18:40,13500,0
18,D1,2021_quarter_discount,3 month discounts,2021-01-07 11:14:46,13500,0
26,D1,2021_quarter_discount,3 month discounts,2021-01-15 09:04:11,13500,0
28,D1,2021_quarter_discount,3 month discounts,2021-01-21 10:30:14,13500,0
83,D1,2021_quarter_discount,3 month discounts,2021-04-02 13:06:31,13500,0
84,D1,2021_quarter_discount,3 month discounts,2021-04-02 15:14:03,13500,0
86,D1,2021_quarter_discount,3 month discounts,2021-04-02 17:24:05,13500,0
95,D1,2021_quarter_discount,3 month discounts,2021-04-07 16:31:09,13500,0
97,D1,2021_quarter_discount,3 month discounts,2021-04-08 14:54:56,13500,0
100,D1,2021_quarter_discount,3 month discounts,2021-04-15 15:46:44,13500,0
105,D1,2021_quarter_discount,3 month discounts,2021-04-23 14:20:14,13500,0
176,D1,2021_quarter_discount,3 month discounts,2021-07-05 17:55:33,13500,0
177,D1,2021_quarter_discount,3 month discounts,2021-07-06 09:22:59,13500,0
179,D1,2021_quarter_discount,3 month discounts,2021-07-07 12:07:35,13500,0
180,D1,2021_quarter_discount,3 month discounts,2021-07-09 16:09:59,13500,0
182,D1,2021_quarter_discount,3 month discounts,2021-07-14 17:03:01,13500,0
192,D1,2021_quarter_discount,3 month discounts,2021-07-29 10:25:28,13500,0
199,D1,2021_quarter_discount,3 month discounts,2021-07-30 13:06:59,13500,0
200,D1,2021_quarter_discount,3 month discounts,2021-07-30 13:14:39,13500,0
255,D1,2021_quarter_discount,3 month discounts,2021-10-01 10:33:00,13500,0
258,D1,2021_quarter_discount,3 month discounts,2021-10-01 15:09:17,13500,0
260,D1,2021_quarter_discount,3 month discounts,2021-10-01 17:14:05,13500,0
271,D1,2021_quarter_discount,3 month discounts,2021-10-13 10:31:47,13500,0
274,D1,2021_quarter_discount,3 month discounts,2021-10-18 12:22:57,13500,0
277,D1,2021_quarter_discount,3 month discounts,2021-10-22 17:44:18,13500,0
279,D1,2021_quarter_discount,3 month discounts,2021-10-26 16:04:37,13500,0
281,D1,2021_quarter_discount,3 month discounts,2021-10-26 17:24:42,13500,0
282,D1,2021_quarter_discount,3 month discounts,2021-10-26 17:51:53,13500,0
284,D1,2021_quarter_discount,3 month discounts,2021-10-27 17:31:02,13500,0
1,D1,2021_quarter_discount,3 month discounts,2021-01-01 09:30:30,22500,0
2,D1,2021_quarter_discount,3 month discounts,2021-01-01 10:19:43,22500,0
3,D1,2021_quarter_discount,3 month discounts,2021-01-01 10:28:24,22500,0
5,D1,2021_quarter_discount,3 month discounts,2021-01-01 11:08:33,22500,0
6,D1,2021_quarter_discount,3 month discounts,2021-01-01 17:45:51,22500,0
7,D1,2021_quarter_discount,3 month discounts,2021-01-04 09:28:55,22500,0
10,D1,2021_quarter_discount,3 month discounts,2021-01-04 15:01:38,22500,0
11,D1,2021_quarter_discount,3 month discounts,2021-01-04 17:25:40,22500,0
13,D1,2021_quarter_discount,3 month discounts,2021-01-05 10:43:36,22500,0
16,D1,2021_quarter_discount,3 month discounts,2021-01-06 11:13:05,22500,0
21,D1,2021_quarter_discount,3 month discounts,2021-01-07 17:56:52,22500,0
24,D1,2021_quarter_discount,3 month discounts,2021-01-11 15:35:17,22500,0
25,D1,2021_quarter_discount,3 month discounts,2021-01-14 10:03:42,22500,0
27,D1,2021_quarter_discount,3 month discounts,2021-01-20 11:54:41,22500,0
29,D1,2021_quarter_discount,3 month discounts,2021-01-22 13:27:43,22500,0
30,D1,2021_quarter_discount,3 month discounts,2021-01-27 16:29:59,22500,0
32,D1,2021_quarter_discount,3 month discounts,2021-01-28 11:14:53,22500,0
81,D1,2021_quarter_discount,3 month discounts,2021-04-01 13:34:36,22500,0
85,D1,2021_quarter_discount,3 month discounts,2021-04-02 17:18:27,22500,0
87,D1,2021_quarter_discount,3 month discounts,2021-04-05 11:47:22,22500,0
88,D1,2021_quarter_discount,3 month discounts,2021-04-05 12:52:04,22500,0
91,D1,2021_quarter_discount,3 month discounts,2021-04-06 09:38:16,22500,0
94,D1,2021_quarter_discount,3 month discounts,2021-04-07 09:22:51,22500,0
98,D1,2021_quarter_discount,3 month discounts,2021-04-08 17:51:52,22500,0
99,D1,2021_quarter_discount,3 month discounts,2021-04-09 15:28:38,22500,0
101,D1,2021_quarter_discount,3 month discounts,2021-04-19 09:58:32,22500,0
