leads_id,session_source,industry,leads_registered,number_of_employee,sessIon_source_code,industry_code
244,CPC,Education,2021-02-03 14:36:48 UTC,5,1,1
290,Organic Social,Education,2021-02-23 14:27:36 UTC,5,4,1
425,CPC,Education,2021-03-30 15:10:12 UTC,5,1,1
437,Organic Social,Education,2021-04-01 15:39:02 UTC,5,4,1
462,Organic Social,Education,2021-04-06 10:44:11 UTC,5,4,1
464,Organic Social,Education,2021-04-06 17:16:04 UTC,5,4,1
692,Organic Social,Education,2021-06-07 17:36:20 UTC,5,4,1
702,Organic Social,Education,2021-06-11 09:18:50 UTC,5,4,1
1244,Organic Search,Education,2021-11-05 12:28:15 UTC,5,3,1
1407,CPC,Education,2021-12-10 10:33:09 UTC,5,1,1
1592,CPC,Education,2022-01-07 13:42:38 UTC,5,1,1
1846,CPC,Education,2022-03-11 10:17:18 UTC,5,1,1
1988,Organic Social,Education,2022-04-01 12:07:31 UTC,5,4,1
2044,CPC,Education,2022-04-15 17:44:51 UTC,5,1,1
2062,Direct,Education,2022-04-25 12:58:42 UTC,5,2,1
2083,CPC,Education,2022-04-28 09:02:42 UTC,5,1,1
2111,Refferal,Education,2022-05-03 15:08:57 UTC,5,5,1
2186,Organic Search,Education,2022-05-25 10:55:40 UTC,5,3,1
2313,Direct,Education,2022-06-06 14:08:35 UTC,5,2,1
2531,CPC,Education,2022-07-05 13:40:42 UTC,5,1,1
2620,Organic Social,Education,2022-07-29 15:09:03 UTC,5,4,1
3004,Direct,Education,2022-09-26 09:53:45 UTC,5,2,1
3093,CPC,Education,2022-09-30 13:02:59 UTC,5,1,1
3225,CPC,Education,2022-10-26 13:53:27 UTC,5,1,1
3322,CPC,Education,2022-11-10 16:50:24 UTC,5,1,1
70,CPC,Education,2020-12-15 15:14:56 UTC,10,1,1
170,Organic Social,Education,2021-01-07 17:11:04 UTC,10,4,1
185,CPC,Education,2021-01-13 16:35:03 UTC,10,1,1
314,Organic Social,Education,2021-03-01 15:34:36 UTC,10,4,1
618,Organic Search,Education,2021-05-24 11:40:01 UTC,10,3,1
709,CPC,Education,2021-06-14 17:04:02 UTC,10,1,1
716,CPC,Education,2021-06-18 16:08:03 UTC,10,1,1
1041,Organic Search,Education,2021-09-09 17:40:28 UTC,10,3,1
1162,CPC,Education,2021-10-08 10:27:26 UTC,10,1,1
1317,CPC,Education,2021-11-30 11:53:34 UTC,10,1,1
1379,Organic Social,Education,2021-12-07 11:04:14 UTC,10,4,1
1394,Organic Search,Education,2021-12-08 15:58:28 UTC,10,3,1
1527,Organic Social,Education,2021-12-30 17:45:27 UTC,10,4,1
1652,Organic Social,Education,2022-01-28 12:17:21 UTC,10,4,1
1841,Organic Search,Education,2022-03-10 12:51:35 UTC,10,3,1
1878,Organic Social,Education,2022-03-21 10:24:13 UTC,10,4,1
1986,CPC,Education,2022-04-01 09:46:00 UTC,10,1,1
2861,Organic Search,Education,2022-09-06 17:40:27 UTC,10,3,1
2868,CPC,Education,2022-09-07 13:56:59 UTC,10,1,1
2978,Organic Social,Education,2022-09-22 14:32:05 UTC,10,4,1
3150,CPC,Education,2022-10-05 17:17:27 UTC,10,1,1
3375,CPC,Education,2022-11-28 12:32:31 UTC,10,1,1
183,Organic Search,Education,2021-01-13 14:48:24 UTC,15,3,1
190,Organic Social,Education,2021-01-15 12:31:59 UTC,15,4,1
416,CPC,Education,2021-03-29 16:56:00 UTC,15,1,1
452,CPC,Education,2021-04-02 17:51:28 UTC,15,1,1
