leads_id,last_stage_id,last_stage,last_step,starting_ts,ending_ts,status,reason,cycle_duration
1,104,approach_success,3,"2020-11-25 13:49:44","2020-12-07 13:49:28",lost,"not answered",12.0
2,108,deal_won,7,"2020-11-26 09:04:53","2021-01-01 17:45:51",won,"",36.36
3,104,approach_success,3,"2020-11-26 09:26:32","2020-12-07 10:21:42",lost,"not answered",11.04
4,103,initial_communication_success,2,"2020-11-26 13:56:31","2020-12-02 16:22:27",lost,"not answered",6.1
5,106,offer_sent,5,"2020-11-27 11:07:38","2020-12-15 16:48:11",lost,"not interested",18.24
6,108,deal_won,7,"2020-11-30 09:16:32","2021-01-05 10:40:32",won,"",36.06
7,105,discussion_success,4,"2020-11-30 12:14:43","2020-12-14 09:43:59",lost,"not interested",13.9
8,108,deal_won,7,"2020-11-30 16:11:03","2021-01-01 11:08:33",won,"",31.79
9,108,deal_won,7,"2020-11-30 16:34:52","2021-01-04 12:27:39",won,"",34.83
10,108,deal_won,7,"2020-11-30 17:53:22","2021-01-07 13:59:46",won,"",37.84
11,103,initial_communication_success,2,"2020-12-01 09:19:58","2020-12-09 17:16:52",lost,"not answered",8.33
12,108,deal_won,7,"2020-12-01 10:14:03","2021-01-04 14:43:29",won,"",34.19
13,105,discussion_success,4,"2020-12-01 11:25:09","2020-12-17 12:02:32",lost,"price not fit",16.03
14,101,leads_registered,0,"2020-12-02 09:18:00","2020-12-02 09:18:00",open,"",0.0
15,108,deal_won,7,"2020-12-02 10:31:02","2021-01-07 11:14:46",won,"",36.03
16,105,discussion_success,4,"2020-12-02 12:58:24","2020-12-14 09:32:42",lost,"price not fit",11.86
17,108,deal_won,7,"2020-12-02 14:27:54","2021-01-07 10:18:40",won,"",35.83
18,108,deal_won,7,"2020-12-02 14:47:29","2021-01-05 12:21:38",won,"",33.9
19,108,deal_won,7,"2020-12-02 15:09:05","2021-01-04 15:01:38",won,"",32.99
20,106,offer_sent,5,"2020-12-02 15:13:48","2020-12-25 10:58:35",lost,"not interested",22.82
21,108,deal_won,7,"2020-12-03 10:20:02","2021-01-01 09:30:30",won,"",28.97
22,108,deal_won,7,"2020-12-03 13:31:39","2021-01-08 10:31:05",won,"",35.87
23,107,quotation_recieved,6,"2020-12-04 10:32:42","2020-12-31 16:45:12",lost,"price not fit",27.26
24,108,deal_won,7,"2020-12-04 11:01:40","2021-01-04 09:28:55",won,"",30.94
25,102,leads_qualification,1,"2020-12-04 13:50:11","2020-12-09 13:24:38",lost,"not selected",4.98
26,103,initial_communication_success,2,"2020-12-04 14:59:50","2020-12-14 17:02:25",lost,"not answered",10.09
27,108,deal_won,7,"2020-12-04 15:15:55","2021-01-07 11:34:42",won,"",33.85
28,108,deal_won,7,"2020-12-04 15:48:54","2021-01-01 10:45:45",won,"",27.79
29,103,initial_communication_success,2,"2020-12-04 16:12:38","2020-12-14 16:27:00",lost,"not answered",10.01
30,103,initial_communication_success,2,"2020-12-04 16:36:34","2020-12-11 10:21:05",lost,"not answered",6.74
31,108,deal_won,7,"2020-12-04 17:07:02","2021-01-04 17:25:40",won,"",31.01
32,103,initial_communication_success,2,"2020-12-07 09:18:17","2020-12-14 16:19:07",lost,"not answered",7.29
33,101,leads_registered,0,"2020-12-07 09:37:27","2020-12-07 09:37:27",open,"",0.0
34,101,leads_registered,0,"2020-12-07 09:46:33","2020-12-07 09:46:33",open,"",0.0
35,106,offer_sent,5,"2020-12-07 09:52:53","2020-12-25 17:27:12",lost,"price not fit",18.32
36,108,deal_won,7,"2020-12-07 11:19:48","2021-01-01 10:19:43",won,"",24.96
37,104,approach_success,3,"2020-12-07 12:25:04","2020-12-17 14:58:46",lost,"not answered",10.11
38,104,approach_success,3,"2020-12-07 14:24:19","2020-12-16 16:53:08",lost,"not interested",9.1
39,103,initial_communication_success,2,"2020-12-07 16:32:06","2020-12-14 11:25:44",lost,"not answered",6.79
40,101,leads_registered,0,"2020-12-07 16:39:49","2020-12-07 16:39:49",open,"",0.0
41,102,leads_qualification,1,"2020-12-08 09:56:50","2020-12-11 15:10:32",lost,"not selected",3.22
42,107,quotation_recieved,6,"2020-12-08 10:53:09","2020-12-31 14:21:50",lost,"price not fit",23.14
43,102,leads_qualification,1,"2020-12-08 12:08:28","2020-12-11 17:16:16",lost,"not selected",3.21
44,101,leads_registered,0,"2020-12-08 16:06:14","2020-12-08 16:06:14",open,"",0.0
45,108,deal_won,7,"2020-12-08 16:08:54","2021-01-05 11:38:35",won,"",27.81
46,108,deal_won,7,"2020-12-08 16:52:10","2021-01-11 15:35:17",won,"",33.95
47,101,leads_registered,0,"2020-12-08 17:32:36","2020-12-08 17:32:36",open,"",0.0
48,108,deal_won,7,"2020-12-09 10:23:17","2021-01-05 10:43:36",won,"",27.01
49,105,discussion_success,4,"2020-12-09 11:25:51","2020-12-22 16:52:15",lost,"price not fit",13.23
50,107,quotation_recieved,6,"2020-12-09 12:46:41","2020-12-31 16:49:42",lost,"price not fit",22.17
51,103,initial_communication_success,2,"2020-12-09 13:24:49","2020-12-15 16:56:52",lost,"not answered",6.15
52,105,discussion_success,4,"2020-12-10 10:48:44","2020-12-24 13:37:50",lost,"not interested",14.12
53,108,deal_won,7,"2020-12-10 11:56:01","2021-01-06 11:13:05",won,"",26.97
54,108,deal_won,7,"2020-12-10 14:54:11","2021-01-01 10:28:24",won,"",21.82
55,101,leads_registered,0,"2020-12-10 16:21:35","2020-12-10 16:21:35",open,"",0.0
56,105,discussion_success,4,"2020-12-10 17:16:59","2020-12-21 10:31:34",lost,"not answered",10.72
57,102,leads_qualification,1,"2020-12-11 09:11:03","2020-12-18 15:07:58",lost,"not selected",7.25
58,101,leads_registered,0,"2020-12-11 09:42:14","2020-12-11 09:42:14",open,"",0.0
59,103,initial_communication_success,2,"2020-12-11 10:28:14","2020-12-17 14:47:33",lost,"not answered",6.18
60,104,approach_success,3,"2020-12-11 10:51:42","2020-12-17 15:21:46",lost,"not answered",6.19
61,101,leads_registered,0,"2020-12-11 11:24:42","2020-12-11 11:24:42",open,"",0.0
62,103,initial_communication_success,2,"2020-12-11 13:28:06","2020-12-18 10:22:01",lost,"not interested",6.87
63,108,deal_won,7,"2020-12-11 13:47:41","2021-01-07 17:56:52",won,"",27.17
64,105,discussion_success,4,"2020-12-11 16:32:08","2020-12-25 11:13:10",lost,"price not fit",13.78
65,105,discussion_success,4,"2020-12-11 16:40:43","2020-12-23 13:30:49",lost,"not answered",11.87
66,106,offer_sent,5,"2020-12-11 17:59:08","2020-12-25 15:15:13",lost,"not answered",13.89
67,107,quotation_recieved,6,"2020-12-14 09:51:37","2021-01-11 11:13:07",lost,"not answered",28.06
68,105,discussion_success,4,"2020-12-14 15:59:08","2020-12-28 15:43:10",lost,"not interested",13.99
69,104,approach_success,3,"2020-12-15 12:05:07","2020-12-22 17:09:40",lost,"not answered",7.21
70,101,leads_registered,0,"2020-12-15 15:14:56","2020-12-15 15:14:56",open,"",0.0
71,105,discussion_success,4,"2020-12-16 09:48:00","2020-12-28 10:25:35",lost,"price not fit",12.03
72,105,discussion_success,4,"2020-12-16 15:19:44","2020-12-31 12:46:33",lost,"not interested",14.89
73,108,deal_won,7,"2020-12-16 17:40:41","2021-01-08 16:30:29",won,"",22.95
74,108,deal_won,7,"2020-12-17 14:54:06","2021-01-15 09:04:11",won,"",28.76
75,108,deal_won,7,"2020-12-17 15:10:23","2021-01-14 10:03:42",won,"",27.79
76,103,initial_communication_success,2,"2020-12-17 17:02:57","2020-12-24 12:22:53",lost,"not answered",6.81
77,105,discussion_success,4,"2020-12-18 11:05:47","2021-01-08 11:52:45",lost,"not answered",21.03
78,102,leads_qualification,1,"2020-12-18 16:18:04","2020-12-25 13:35:28",lost,"not selected",6.89
79,108,deal_won,7,"2020-12-21 09:23:46","2021-01-21 10:30:14",won,"",31.05
80,103,initial_communication_success,2,"2020-12-21 10:30:38","2020-12-28 12:22:13",lost,"not answered",7.08
81,106,offer_sent,5,"2020-12-21 12:06:55","2021-01-07 17:39:49",lost,"not answered",17.23
82,104,approach_success,3,"2020-12-21 12:29:47","2020-12-31 12:07:39",lost,"not answered",9.98
83,106,offer_sent,5,"2020-12-22 10:28:28","2021-01-06 13:05:07",lost,"not interested",15.11
84,103,initial_communication_success,2,"2020-12-22 10:57:57","2020-12-29 14:52:19",lost,"not answered",7.16
85,106,offer_sent,5,"2020-12-22 14:17:52","2021-01-08 15:05:36",lost,"price not fit",17.03
86,108,deal_won,7,"2020-12-22 16:01:22","2021-01-22 13:27:43",won,"",30.89
87,107,quotation_recieved,6,"2020-12-23 12:00:51","2021-01-15 16:54:25",lost,"not answered",23.2
88,101,leads_registered,0,"2020-12-23 14:51:37","2020-12-23 14:51:37",open,"",0.0
89,101,leads_registered,0,"2020-12-23 15:19:07","2020-12-23 15:19:07",open,"",0.0
90,107,quotation_recieved,6,"2020-12-23 15:44:06","2021-01-15 16:50:38",lost,"not answered",23.05
91,104,approach_success,3,"2020-12-23 16:25:55","2021-01-04 13:07:23",lost,"already use other products",11.86
92,108,deal_won,7,"2020-12-24 09:45:36","2021-02-03 15:37:03",won,"",41.24
93,106,offer_sent,5,"2020-12-24 11:43:06","2021-01-13 16:59:52",lost,"not interested",20.22
94,102,leads_qualification,1,"2020-12-24 11:56:10","2020-12-28 15:52:14",lost,"not selected",4.16
95,101,leads_registered,0,"2020-12-24 14:26:15","2020-12-24 14:26:15",open,"",0.0
96,108,deal_won,7,"2020-12-24 17:21:10","2021-01-27 16:29:59",won,"",33.96
97,106,offer_sent,5,"2020-12-28 09:54:13","2021-01-13 09:54:37",lost,"not answered",16.0
98,108,deal_won,7,"2020-12-28 10:25:08","2021-02-04 17:30:04",won,"",38.3
99,105,discussion_success,4,"2020-12-28 10:29:02","2021-01-15 17:33:16",lost,"not interested",18.29
100,106,offer_sent,5,"2020-12-28 13:00:01","2021-01-18 09:18:00",lost,"not answered",20.85
101,104,approach_success,3,"2020-12-28 15:42:37","2021-01-06 16:52:09",lost,"not answered",9.05
102,108,deal_won,7,"2020-12-29 10:48:50","2021-01-27 16:59:24",won,"",29.26
103,105,discussion_success,4,"2020-12-29 13:54:39","2021-01-13 16:28:08",lost,"price not fit",15.11
104,101,leads_registered,0,"2020-12-29 14:47:52","2020-12-29 14:47:52",open,"",0.0
105,101,leads_registered,0,"2020-12-29 15:20:10","2020-12-29 15:20:10",open,"",0.0
106,104,approach_success,3,"2020-12-29 16:04:04","2021-01-06 11:25:02",lost,"already use other products",7.81
107,102,leads_qualification,1,"2020-12-29 16:56:39","2021-01-01 14:53:20",lost,"not selected",2.91
108,104,approach_success,3,"2020-12-29 17:26:23","2021-01-07 15:26:12",lost,"not interested",8.92
109,101,leads_registered,0,"2020-12-30 09:10:00","2020-12-30 09:10:00",open,"",0.0
110,108,deal_won,7,"2020-12-30 10:02:19","2021-02-02 10:07:01",won,"",34.0
111,108,deal_won,7,"2020-12-30 10:31:48","2021-01-28 11:39:24",won,"",29.05
112,105,discussion_success,4,"2020-12-30 10:49:02","2021-01-12 09:34:23",lost,"not interested",12.95
113,103,initial_communication_success,2,"2020-12-30 11:10:08","2021-01-06 12:57:17",lost,"not answered",7.07
114,102,leads_qualification,1,"2020-12-30 14:55:11","2021-01-06 14:40:11",lost,"not selected",6.99
115,102,leads_qualification,1,"2020-12-30 15:17:41","2021-01-04 09:29:35",lost,"not selected",4.76
116,102,leads_qualification,1,"2020-12-30 15:31:20","2021-01-04 11:30:07",lost,"not selected",4.83
117,103,initial_communication_success,2,"2020-12-31 10:42:29","2021-01-05 16:10:44",lost,"not interested",5.23
118,103,initial_communication_success,2,"2020-12-31 11:02:10","2021-01-07 10:01:20",lost,"not answered",6.96
119,102,leads_qualification,1,"2020-12-31 15:51:38","2021-01-06 16:36:40",lost,"not selected",6.03
120,104,approach_success,3,"2020-12-31 16:03:13","2021-01-11 10:35:16",lost,"not interested",10.77
121,107,quotation_recieved,6,"2020-12-31 17:35:16","2021-01-28 17:07:57",lost,"price not fit",27.98
122,104,approach_success,3,"2021-01-01 09:26:58","2021-01-14 15:15:38",lost,"already use other products",13.24
123,108,deal_won,7,"2021-01-01 10:31:07","2021-02-03 11:12:00",won,"",33.03
124,101,leads_registered,0,"2021-01-01 10:36:32","2021-01-01 10:36:32",open,"",0.0
125,102,leads_qualification,1,"2021-01-01 10:38:28","2021-01-06 16:13:11",lost,"not selected",5.23
126,108,deal_won,7,"2021-01-01 11:00:01","2021-02-04 11:57:25",won,"",34.04
127,102,leads_qualification,1,"2021-01-01 12:59:10","2021-01-08 13:20:39",lost,"not selected",7.01
128,108,deal_won,7,"2021-01-01 14:26:03","2021-01-20 11:54:41",won,"",18.89
129,105,discussion_success,4,"2021-01-01 14:36:35","2021-01-19 14:14:08",lost,"price not fit",17.98
130,103,initial_communication_success,2,"2021-01-01 15:29:05","2021-01-11 09:55:19",lost,"not answered",9.77
131,104,approach_success,3,"2021-01-01 16:34:26","2021-01-08 10:15:38",lost,"already use other products",6.74
132,103,initial_communication_success,2,"2021-01-01 17:50:03","2021-01-11 16:03:02",lost,"not answered",9.93
133,105,discussion_success,4,"2021-01-04 10:59:09","2021-01-20 17:20:34",lost,"price not fit",16.26
134,108,deal_won,7,"2021-01-04 11:41:23","2021-02-01 13:50:51",won,"",28.09
135,104,approach_success,3,"2021-01-04 11:59:44","2021-01-12 10:40:59",lost,"not answered",7.95
136,101,leads_registered,0,"2021-01-04 13:48:33","2021-01-04 13:48:33",open,"",0.0
137,102,leads_qualification,1,"2021-01-04 14:05:37","2021-01-08 15:04:25",lost,"not selected",4.04
138,104,approach_success,3,"2021-01-04 14:25:42","2021-01-14 12:57:31",lost,"not interested",9.94
139,108,deal_won,7,"2021-01-04 14:48:14","2021-02-03 15:06:32",won,"",30.01
140,108,deal_won,7,"2021-01-04 15:20:07","2021-02-01 17:38:10",won,"",28.1
141,102,leads_qualification,1,"2021-01-04 15:23:00","2021-01-08 12:18:44",lost,"not selected",3.87
142,102,leads_qualification,1,"2021-01-04 15:40:53","2021-01-08 10:45:11",lost,"not selected",3.79
143,104,approach_success,3,"2021-01-04 15:41:27","2021-01-12 17:46:27",lost,"not interested",8.09
144,108,deal_won,7,"2021-01-04 16:57:24","2021-02-05 15:07:58",won,"",31.92
145,101,leads_registered,0,"2021-01-05 10:10:36","2021-01-05 10:10:36",open,"",0.0
146,108,deal_won,7,"2021-01-05 10:43:37","2021-02-04 09:23:59",won,"",29.94
