leads_id,step_id,start_of_week,month,starting_ts,ending_ts,open_weekly,open_monthly
1,0,2020-11-23,2020-11-01,2020-11-25,2020-11-25,1,1
1,0,2020-11-30,2020-11-01,2020-11-25,2020-11-25,0,1
1,1,2020-11-23,2020-11-01,2020-11-25,2020-12-02,1,1
1,1,2020-11-30,2020-11-01,2020-11-25,2020-12-02,1,1
1,1,2020-12-07,2020-12-01,2020-11-25,2020-12-02,0,1
1,2,2020-11-30,2020-11-01,2020-12-02,2020-12-04,1,0
1,2,2020-12-07,2020-12-01,2020-12-02,2020-12-04,0,1
1,3,2020-11-30,2020-11-01,2020-12-04,2020-12-07,1,0
1,3,2020-12-07,2020-12-01,2020-12-04,2020-12-07,1,1
1,3,2020-12-14,2020-12-01,2020-12-04,2020-12-07,0,1
2,0,2020-11-23,2020-11-01,2020-11-26,2020-11-26,1,1
2,0,2020-11-30,2020-11-01,2020-11-26,2020-11-26,0,1
2,1,2020-11-23,2020-11-01,2020-11-26,2020-12-03,1,1
2,1,2020-11-30,2020-11-01,2020-11-26,2020-12-03,1,1
2,1,2020-12-07,2020-12-01,2020-11-26,2020-12-03,0,1
2,2,2020-11-30,2020-11-01,2020-12-03,2020-12-04,1,0
2,2,2020-12-07,2020-12-01,2020-12-03,2020-12-04,0,1
2,3,2020-11-30,2020-11-01,2020-12-04,2020-12-07,1,0
2,3,2020-12-07,2020-12-01,2020-12-04,2020-12-07,1,1
2,3,2020-12-14,2020-12-01,2020-12-04,2020-12-07,0,1
2,4,2020-12-07,2020-12-01,2020-12-07,2020-12-14,1,1
2,4,2020-12-14,2020-12-01,2020-12-07,2020-12-14,1,1
2,4,2020-12-21,2020-12-01,2020-12-07,2020-12-14,0,1
2,5,2020-12-14,2020-12-01,2020-12-14,2020-12-15,1,1
2,5,2020-12-21,2020-12-01,2020-12-14,2020-12-15,0,1
2,6,2020-12-14,2020-12-01,2020-12-15,2020-12-24,1,1
2,6,2020-12-21,2020-12-01,2020-12-15,2020-12-24,1,1
2,6,2020-12-28,2020-12-01,2020-12-15,2020-12-24,0,1
2,7,2020-12-21,2020-12-01,2020-12-24,2021-01-01,1,1
2,7,2020-12-28,2020-12-01,2020-12-24,2021-01-01,1,1
2,7,2021-01-04,2021-01-01,2020-12-24,2021-01-01,0,1
3,0,2020-11-23,2020-11-01,2020-11-26,2020-11-26,1,1
3,0,2020-11-30,2020-11-01,2020-11-26,2020-11-26,0,1
3,1,2020-11-23,2020-11-01,2020-11-26,2020-12-03,1,1
3,1,2020-11-30,2020-11-01,2020-11-26,2020-12-03,1,1
3,1,2020-12-07,2020-12-01,2020-11-26,2020-12-03,0,1
3,2,2020-11-30,2020-11-01,2020-12-03,2020-12-04,1,0
3,2,2020-12-07,2020-12-01,2020-12-03,2020-12-04,0,1
3,3,2020-11-30,2020-11-01,2020-12-04,2020-12-07,1,0
3,3,2020-12-07,2020-12-01,2020-12-04,2020-12-07,1,1
3,3,2020-12-14,2020-12-01,2020-12-04,2020-12-07,0,1
4,0,2020-11-23,2020-11-01,2020-11-26,2020-11-26,1,1
4,0,2020-11-30,2020-11-01,2020-11-26,2020-11-26,0,1
4,1,2020-11-23,2020-11-01,2020-11-26,2020-12-01,1,1
4,1,2020-11-30,2020-11-01,2020-11-26,2020-12-01,1,1
4,1,2020-12-07,2020-12-01,2020-11-26,2020-12-01,0,1
4,2,2020-11-30,2020-11-01,2020-12-01,2020-12-02,1,0
4,2,2020-12-07,2020-12-01,2020-12-01,2020-12-02,0,1
5,0,2020-11-23,2020-11-01,2020-11-27,2020-11-27,1,1
5,0,2020-11-30,2020-11-01,2020-11-27,2020-11-27,0,1
5,1,2020-11-23,2020-11-01,2020-11-27,2020-12-04,1,1
5,1,2020-11-30,2020-11-01,2020-11-27,2020-12-04,1,1
5,1,2020-12-07,2020-12-01,2020-11-27,2020-12-04,0,1
5,2,2020-11-30,2020-11-01,2020-12-04,2020-12-07,1,0
5,2,2020-12-07,2020-12-01,2020-12-04,2020-12-07,1,1
5,2,2020-12-14,2020-12-01,2020-12-04,2020-12-07,0,1
5,3,2020-12-07,2020-12-01,2020-12-07,2020-12-08,1,1
5,3,2020-12-14,2020-12-01,2020-12-07,2020-12-08,0,1
5,4,2020-12-07,2020-12-01,2020-12-08,2020-12-14,1,1
5,4,2020-12-14,2020-12-01,2020-12-08,2020-12-14,1,1
5,4,2020-12-21,2020-12-01,2020-12-08,2020-12-14,0,1
5,5,2020-12-14,2020-12-01,2020-12-14,2020-12-15,1,1
5,5,2020-12-21,2020-12-01,2020-12-14,2020-12-15,0,1
6,0,2020-11-30,2020-11-01,2020-11-30,2020-11-30,1,1
6,1,2020-11-30,2020-11-01,2020-11-30,2020-12-04,1,1
6,1,2020-12-07,2020-12-01,2020-11-30,2020-12-04,0,1
6,2,2020-11-30,2020-11-01,2020-12-04,2020-12-07,1,0
6,2,2020-12-07,2020-12-01,2020-12-04,2020-12-07,1,1
6,2,2020-12-14,2020-12-01,2020-12-04,2020-12-07,0,1
6,3,2020-12-07,2020-12-01,2020-12-07,2020-12-10,1,1
6,3,2020-12-14,2020-12-01,2020-12-07,2020-12-10,0,1
6,4,2020-12-07,2020-12-01,2020-12-10,2020-12-18,1,1
6,4,2020-12-14,2020-12-01,2020-12-10,2020-12-18,1,1
6,4,2020-12-21,2020-12-01,2020-12-10,2020-12-18,0,1
6,5,2020-12-14,2020-12-01,2020-12-18,2020-12-22,1,1
6,5,2020-12-21,2020-12-01,2020-12-18,2020-12-22,1,1
6,5,2020-12-28,2020-12-01,2020-12-18,2020-12-22,0,1
6,6,2020-12-21,2020-12-01,2020-12-22,2020-12-31,1,1
6,6,2020-12-28,2020-12-01,2020-12-22,2020-12-31,1,1
6,7,2020-12-28,2020-12-01,2020-12-31,2021-01-05,1,1
6,7,2021-01-04,2021-01-01,2020-12-31,2021-01-05,1,1
6,7,2021-01-11,2021-01-01,2020-12-31,2021-01-05,0,1
7,0,2020-11-30,2020-11-01,2020-11-30,2020-11-30,1,1
7,1,2020-11-30,2020-11-01,2020-11-30,2020-12-04,1,1
7,1,2020-12-07,2020-12-01,2020-11-30,2020-12-04,0,1
7,2,2020-11-30,2020-11-01,2020-12-04,2020-12-07,1,0
7,2,2020-12-07,2020-12-01,2020-12-04,2020-12-07,1,1
7,2,2020-12-14,2020-12-01,2020-12-04,2020-12-07,0,1
7,3,2020-12-07,2020-12-01,2020-12-07,2020-12-09,1,1
7,3,2020-12-14,2020-12-01,2020-12-07,2020-12-09,0,1
7,4,2020-12-07,2020-12-01,2020-12-09,2020-12-14,1,1
7,4,2020-12-14,2020-12-01,2020-12-09,2020-12-14,1,1
7,4,2020-12-21,2020-12-01,2020-12-09,2020-12-14,0,1
8,0,2020-11-30,2020-11-01,2020-11-30,2020-11-30,1,1
8,1,2020-11-30,2020-11-01,2020-11-30,2020-12-04,1,1
8,1,2020-12-07,2020-12-01,2020-11-30,2020-12-04,0,1
8,2,2020-11-30,2020-11-01,2020-12-04,2020-12-07,1,0
8,2,2020-12-07,2020-12-01,2020-12-04,2020-12-07,1,1
