leads_id,last_stage,no_of_stage,start_ts,stage2_ts,stage3_ts,stage4_ts,stage5_ts,stage6_ts,stage7_ts,stage8_ts,stage2_state,stage3_state,stage4_state,stage5_state,stage6_state,stage7_state,stage8_state,reason,last_ts,stage2_duration,stage3_duration,stage4_duration,stage5_duration,stage6_duration,stage7_duration,stage8_duration,last_state,cycle_duration
1,104,4,"2020-11-25 13:49:44","2020-12-02 10:07:04","2020-12-04 12:57:14","2020-12-07 13:49:28",,,,,1,1,0,,,,,"not answered","2020-12-07 13:49:28",6.85,2.12,3.04,,,,,loss,12.0
10,108,8,"2020-11-30 17:53:22","2020-12-04 13:41:03","2020-12-07 09:09:17","2020-12-10 12:59:02","2020-12-18 10:39:49","2020-12-22 17:34:24","2020-12-30 10:24:04","2021-01-07 13:59:46",1,1,1,1,1,1,1,"","2021-01-07 13:59:46",3.82,2.81,3.16,7.9,4.29,7.7,8.15,won,37.84
100,106,6,"2020-12-28 13:00:01","2021-01-04 17:27:34","2021-01-05 16:44:22","2021-01-06 15:23:09","2021-01-15 09:13:10","2021-01-18 09:18:00",,,1,1,1,1,0,,,"not answered","2021-01-18 09:18:00",7.19,0.97,0.94,8.74,3.0,,,loss,20.85
1000,108,8,"2021-09-02 13:18:20","2021-09-06 11:08:59","2021-09-07 15:47:03","2021-09-08 16:49:15","2021-09-14 10:22:03","2021-09-15 11:36:11","2021-09-21 10:11:07","2021-09-27 10:20:07",1,1,1,1,1,1,1,"","2021-09-27 10:20:07",3.91,1.19,1.04,5.73,1.05,5.94,6.01,won,24.88
1001,106,6,"2021-09-02 14:11:03","2021-09-07 12:51:05","2021-09-08 15:32:20","2021-09-10 12:35:17","2021-09-17 13:07:26","2021-09-21 10:41:15",,,1,1,1,1,0,,,"price not fit","2021-09-21 10:41:15",4.94,1.11,1.88,7.02,3.9,,,loss,18.85
1002,108,8,"2021-09-02 14:41:39","2021-09-06 16:45:44","2021-09-08 09:17:38","2021-09-10 12:39:11","2021-09-17 13:51:16","2021-09-20 14:40:01","2021-09-27 14:21:29","2021-10-01 10:45:08",1,1,1,1,1,1,1,"","2021-10-01 10:45:08",4.09,1.69,2.14,7.05,3.03,6.99,3.85,won,28.84
1003,106,6,"2021-09-02 15:26:57","2021-09-06 16:50:15","2021-09-07 16:52:25","2021-09-09 11:52:47","2021-09-14 17:58:16","2021-09-15 09:23:19",,,1,1,1,1,0,,,"not answered","2021-09-15 09:23:19",4.06,1.0,1.79,5.25,0.64,,,loss,12.75
1004,104,4,"2021-09-02 16:53:25","2021-09-06 09:16:45","2021-09-07 11:56:58","2021-09-10 15:54:53",,,,,1,1,0,,,,,"not answered","2021-09-10 15:54:53",3.68,1.11,3.17,,,,,loss,7.96
1005,108,8,"2021-09-03 10:10:54","2021-09-06 15:33:33","2021-09-09 16:59:01","2021-09-10 14:27:34","2021-09-15 09:51:42","2021-09-16 16:07:24","2021-09-21 17:46:39","2021-09-27 15:59:31",1,1,1,1,1,1,1,"","2021-09-27 15:59:31",3.22,3.06,0.89,4.81,1.26,5.07,5.93,won,24.24
1006,108,8,"2021-09-03 10:21:15","2021-09-10 09:52:28","2021-09-13 11:14:25","2021-09-16 13:14:45","2021-09-22 10:37:26","2021-09-24 11:50:04","2021-09-30 12:44:50","2021-10-06 10:57:17",1,1,1,1,1,1,1,"","2021-10-06 10:57:17",6.98,3.06,3.08,5.89,2.05,6.04,5.93,won,33.03
1007,102,2,"2021-09-03 11:39:24","2021-09-10 10:16:55",,,,,,,0,,,,,,,"not selected","2021-09-10 10:16:55",6.94,,,,,,,loss,6.94
1008,102,2,"2021-09-03 12:37:49","2021-09-10 10:51:20",,,,,,,0,,,,,,,"not selected","2021-09-10 10:51:20",6.93,,,,,,,loss,6.93
1009,107,7,"2021-09-03 16:05:25","2021-09-10 09:17:04","2021-09-13 17:43:30","2021-09-14 11:13:19","2021-09-20 09:26:55","2021-09-21 13:17:25","2021-09-29 16:47:46",,1,1,1,1,1,0,,"price not fit","2021-09-29 16:47:46",6.72,3.35,0.73,5.93,1.16,8.15,,loss,26.03
101,104,4,"2020-12-28 15:42:37","2021-01-04 10:12:04","2021-01-05 10:09:52","2021-01-06 16:52:09",,,,,1,1,0,,,,,"not answered","2021-01-06 16:52:09",6.77,1.0,1.28,,,,,loss,9.05
1010,102,2,"2021-09-03 17:16:20","2021-09-07 10:40:35",,,,,,,0,,,,,,,"not selected","2021-09-07 10:40:35",3.73,,,,,,,loss,3.73
